"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.231,0.222,0.24,0.161,0.248,0.257,0.248,0.263,0.218,0.216,0.481,0.044,0.17,0.188,0.23,0.232,0.267
"Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.081,0.086,0.076,0.094,0.092,0.073,0.048,0.066,0.074,0.105,0.149,0.023,0.061,0.09,0.045,0.075,0.089
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.243,0.236,0.25,0.144,0.189,0.322,0.391,0.217,0.238,0.276,0.078,0.469,0.206,0.263,0.174,0.203,0.259
"Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.105,0.086,0.122,0.101,0.095,0.105,0.13,0.092,0.112,0.108,0.043,0.175,0.115,0.093,0.122,0.089,0.109
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.196,0.249,0.145,0.333,0.218,0.117,0.079,0.202,0.21,0.171,0.114,0.232,0.223,0.191,0.274,0.215,0.167
"Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.019,0.017,0.021,0.029,0.021,0.01,0.012,0.012,0.019,0.026,0.012,0.005,0.03,0.019,0.019,0.02,0.019
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.026,0.022,0.03,0.029,0.028,0.024,0.018,0.028,0.025,0.024,0.028,0.017,0.069,0.052,0.016,0.022,0.009
"Otros",0.03,0.03,0.031,0.03,0.043,0.019,0.015,0.032,0.032,0.026,0.037,0.008,0.032,0.034,0.032,0.047,0.024
"En blanco",0.023,0.017,0.028,0.033,0.017,0.024,0.021,0.025,0.025,0.018,0.017,0.01,0.037,0.025,0.028,0.028,0.018
"No sabe",0.046,0.035,0.057,0.046,0.049,0.049,0.038,0.063,0.047,0.03,0.041,0.017,0.057,0.045,0.06,0.069,0.039
