"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P05","Mucho",0.449,0.505,0.38,0.316,0.368,0.324,0.197,0.307,0.128,0.129
"P05","Bastante",0.326,0.279,0.382,0.368,0.29,0.331,0.369,0.252,0.273,0.235
"P05","Poco",0.174,0.173,0.203,0.243,0.259,0.219,0.292,0.314,0.385,0.362
"P05","Nada",0.034,0.017,0.03,0.059,0.071,0.097,0.093,0.107,0.191,0.201
"P05","No sabe",0.017,0.026,0.005,0.014,0.012,0.029,0.049,0.02,0.023,0.073
"P06","Siempre",0.28,0.251,0.254,0.242,0.23,0.168,0.183,0.272,0.133,0.093
"P06","Casi siempre",0.413,0.41,0.442,0.385,0.33,0.305,0.444,0.312,0.231,0.273
"P06","Casi nunca",0.239,0.265,0.241,0.268,0.277,0.37,0.245,0.293,0.368,0.378
"P06","Nunca, pero esta es una excepción",0.068,0.074,0.063,0.105,0.163,0.157,0.128,0.123,0.268,0.256
"P08","Unión por la Patria",0.748,0.673,0.079,0.095,0.083,0.02,0.147,0.045,0.052,0.059
"P08","Juntos por el Cambio",0.128,0.109,0.805,0.734,0.073,0.093,0.213,0.16,0.084,0.116
"P08","Liberales",0.01,0.039,0.049,0.032,0.698,0.032,0.033,0.028,0.062,0.017
"P08","Izquierda",0.012,0.057,0.007,0.019,0.022,0.581,0.069,0.064,0.046,0.005
"P08","Otro",0.029,0.044,0.025,0.036,0.05,0.085,0.315,0.374,0.107,0.037
"P08","No sabe",0.073,0.078,0.035,0.084,0.074,0.189,0.223,0.329,0.649,0.766
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.603,0.436,0.046,0.086,0.075,0.134,0.14,0.131,0.075,0.089
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.205,0.25,0.023,0.063,0.057,0.115,0.059,0.051,0.022,0.013
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.039,0.057,0.479,0.361,0.35,0.037,0.066,0.023,0.046,0.027
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.051,0.051,0.223,0.331,0.057,0.063,0.095,0.019,0.038,0.039
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.039,0.081,0.18,0.089,0.386,0.051,0.093,0.047,0.06,0.006
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.067,0.006,0.006,0.016,0.345,0.055,0.041,0.02,0.004
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.013,0.008,0.014,0.013,0.01,0.102,0.344,0.01,0.012,0.016
