"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.027,0.153,0.039,0.08,0.187,0.361,0.248,0.21
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.028,0.043,0.848,0.053,0.053,0.067,0.04,0.03
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.005,0.005,0.002,0.301,0.036,0.042,0.031,0.027
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.005,0.005,0.002,0.034,0.557,0.015,0.034,0.004
"P09","Otros",0.013,0.004,0.007,0.018,0.014,0.245,0.101,0.075
"P09","En blanco",0.004,0.004,0.002,0.023,0.011,0.022,0.296,0.069
"P09","No sabe",0.015,0.005,0.001,0.019,0.037,0.047,0.014,0.434
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.609,0.052,0.06,0.139,0.114,0.072,0.073,0.068
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.2,0.032,0.05,0.215,0.084,0.095,0.119,0.043
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.041,0.505,0.34,0.047,0.098,0.207,0.093,0.066
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.053,0.223,0.071,0.109,0.153,0.18,0.158,0.129
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.041,0.144,0.418,0.087,0.095,0.061,0.045,0.048
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.013,0.006,0.01,0.273,0.041,0.085,0.05,0.026
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.011,0.011,0.01,0.04,0.295,0.005,0.037,0.033
"P18","Otros",0.013,0.007,0.012,0.027,0.04,0.246,0.045,0.057
"P18","En blanco",0.008,0.008,0.015,0.044,0.024,0.016,0.317,0.085
"P18","No sabe",0.011,0.012,0.014,0.019,0.056,0.033,0.063,0.445
"P25","Totalmente seguro",0.716,0.716,0.766,0.565,0.553,0.511,0.53,0.253
"P25","Bastante seguro",0.156,0.141,0.112,0.153,0.162,0.123,0.089,0.098
"P25","Algo seguro",0.085,0.089,0.094,0.137,0.154,0.17,0.047,0.078
"P25","Para nada seguro",0.043,0.054,0.028,0.145,0.131,0.196,0.334,0.571
"P26","Tiene Decidido que va a ir a votar",0.929,0.915,0.907,0.815,0.881,0.837,0.724,0.675
"P26","Tiene dudas sobre si va a ir a votar",0.048,0.061,0.061,0.081,0.033,0.122,0.187,0.193
"P26","Tiene Decidido que no va a ir a votar",0.023,0.024,0.032,0.104,0.086,0.041,0.089,0.132
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.937,0.016,0.014,0.114,0.044,0.085,0.093,0.039
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.021,0.678,0.063,0.083,0.145,0.304,0.29,0.209
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.011,0.153,0.884,0.049,0.019,0.042,0.018,0.059
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.007,0.006,0.01,0.634,0.021,0.023,0.016,0.02
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.004,0.02,0.007,0.04,0.661,0.01,0.009,0
"P28","Otros",0.006,0.055,0.012,0.051,0.031,0.494,0.021,0.051
"P28","En blanco",0.003,0.029,0.004,0.009,0.012,0.023,0.483,0.049
"P28","No sabe",0.011,0.043,0.006,0.02,0.067,0.019,0.07,0.573
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.912,0.057,0.052,0.37,0.198,0.242,0.221,0.171
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.022,0.888,0.575,0.152,0.242,0.264,0.278,0.161
"P33","En blanco",0.044,0.032,0.249,0.34,0.302,0.239,0.442,0.084
"P33","No sabe",0.022,0.023,0.124,0.138,0.258,0.255,0.059,0.584
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.137,0.856,0.098,0.199,0.257,0.284,0.289,0.211
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.088,0.84,0.092,0.079,0.092,0.08,0.144
