"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P10","Unión por la Patria",0.399,0.422,0.137,0.402,0.549,0.496,0.592,0.406,0.51,0.413
"P10","Juntos por el Cambio",0.265,0.248,0.373,0.28,0.19,0.158,0.135,0.324,0.175,0.192
"P10","De los liberales libertarios",0.234,0.174,0.338,0.165,0.083,0.173,0.036,0.115,0.153,0.16
"P10","De la Izquierda",0.031,0.023,0.029,0.029,0.043,0.063,0.02,0.017,0.075,0.035
"P10","Hacemos por nuestro país",0.025,0.014,0.037,0.031,0.011,0.029,0.011,0,0.019,0.025
"P10","Otro",0.013,0.057,0.031,0.035,0.027,0.019,0,0,0.026,0.006
"P10","En blanco",0.011,0.025,0.011,0.019,0,0.026,0.063,0.01,0.003,0.109
"P10","No sabe",0.022,0.037,0.044,0.039,0.097,0.036,0.143,0.128,0.039,0.06
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.451,0.467,0.15,0.468,0.646,0.566,0.665,0.347,0.498,0.475
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.227,0.181,0.371,0.234,0.146,0.118,0.118,0.156,0.188,0.222
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.234,0.211,0.357,0.206,0.049,0.178,0.011,0.09,0.138,0.151
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.021,0.018,0.03,0.025,0.015,0.061,0.02,0.021,0.077,0.034
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.036,0.044,0.053,0.028,0.126,0.031,0.11,0.193,0.034,0.025
"P13","En blanco",0.014,0.031,0.018,0.006,0.005,0.01,0,0.055,0.018,0.037
"P13","No sabe",0.017,0.048,0.021,0.033,0.013,0.036,0.076,0.138,0.047,0.056
"P26","Totalmente seguro",0.75,0.613,0.72,0.684,0.754,0.692,0.81,0.533,0.812,0.582
"P26","Bastante seguro",0.121,0.142,0.116,0.134,0.015,0.138,0.053,0.129,0.082,0.103
"P26","Algo seguro",0.088,0.122,0.093,0.093,0.117,0.101,0.04,0.017,0.059,0.148
"P26","Para nada seguro",0.041,0.123,0.071,0.089,0.114,0.069,0.097,0.321,0.047,0.167
"P27","Tiene Decidido que va a ir a votar",0.93,0.921,0.936,0.903,0.947,0.983,0.907,0.939,0.941,0.734
"P27","Tiene dudas sobre si va a ir a  votar",0.045,0.055,0.048,0.086,0.049,0.008,0.073,0.061,0.042,0.182
"P27","Tiene Decidido que no va a ir a votar",0.025,0.024,0.016,0.011,0.004,0.009,0.02,0,0.017,0.084
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.468,0.527,0.182,0.53,0.631,0.608,0.676,0.722,0.569,0.432
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.307,0.231,0.51,0.289,0.235,0.146,0.137,0.193,0.206,0.306
"P28","En blanco",0.134,0.131,0.176,0.076,0.035,0.119,0.032,0.053,0.093,0.052
"P28","No sabe",0.091,0.111,0.132,0.105,0.099,0.127,0.155,0.032,0.132,0.21
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.312,0.303,0.426,0.318,0.282,0.322,0.192,0.134,0.277,0.211
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.277,0.2,0.376,0.239,0.173,0.135,0.092,0.344,0.149,0.254
"P29","En blanco",0.261,0.274,0.111,0.245,0.316,0.378,0.31,0.254,0.44,0.189
"P29","No sabe",0.15,0.223,0.087,0.198,0.229,0.165,0.406,0.268,0.134,0.346
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.481,0.529,0.19,0.519,0.75,0.636,0.702,0.551,0.537,0.586
