"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco"
"P26","Totalmente seguro",0.732,0.723,0.711,0.562,0.418,0.447
"P26","Bastante seguro",0.12,0.13,0.127,0.097,0.137,0.164
"P26","Algo seguro",0.076,0.084,0.093,0.142,0.178,0.077
"P26","Para nada seguro",0.072,0.063,0.069,0.199,0.267,0.312
"P27","Tiene Decidido que va a ir a votar",0.93,0.924,0.922,0.854,0.796,0.556
"P27","Tiene dudas sobre si va a ir a  votar",0.057,0.06,0.059,0.09,0.137,0.265
"P27","Tiene Decidido que no va a ir a votar",0.013,0.016,0.019,0.056,0.067,0.179
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.862,0.128,0.122,0.291,0.204,0.119
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.061,0.796,0.33,0.205,0.208,0.108
"P28","En blanco",0.029,0.029,0.343,0.192,0.269,0.37
"P28","No sabe",0.048,0.047,0.205,0.312,0.319,0.403
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.22,0.796,0.112,0.294,0.225,0.073
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.083,0.123,0.769,0.184,0.225,0.19
"P29","En blanco",0.435,0.041,0.064,0.323,0.246,0.406
"P29","No sabe",0.262,0.04,0.055,0.199,0.304,0.331
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.828,0.218,0.078,0.369,0.307,0.08
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.055,0.255,0.846,0.199,0.221,0.219
"P30","En blanco",0.075,0.312,0.043,0.266,0.231,0.334
"P30","No sabe",0.042,0.215,0.033,0.166,0.241,0.367
"P38","Inflación",0.398,0.3,0.312,0.25,0.265,0.284
"P38","Desempleo",0.109,0.06,0.074,0.058,0.099,0.161
"P38","Corrupción",0.124,0.442,0.435,0.322,0.351,0.329
"P38","Inseguridad",0.141,0.102,0.095,0.11,0.073,0.075
"P38","Precio del dólar",0.049,0.017,0.006,0.015,0.077,0.01
"P38","Pobreza",0.069,0.022,0.036,0.099,0.047,0.035
"P38","Narcotráfico",0.023,0.006,0.001,0.008,0.028,0
"P38","Tarifas",0.005,0.003,0.004,0.004,0.02,0.017
"P38","Otro",0.056,0.032,0.026,0.112,0.03,0.046
"P38","No sabe",0.026,0.016,0.011,0.022,0.01,0.043
