"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.342,0.322,0.36,0.246,0.322,0.383,0.481,0.327,0.308,0.408,0.203,0.555,0.328,0.36,0.295,0.287,0.357,0.357,0.34,0.8,0.688,0.092
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.284,0.352,0.224,0.408,0.29,0.209,0.178,0.271,0.317,0.251,0.172,0.344,0.339,0.309,0.35,0.272,0.232,0.09,0.163,0.152,0.208,0.846
"En blanco",0.223,0.206,0.237,0.229,0.231,0.236,0.176,0.21,0.226,0.233,0.391,0.045,0.206,0.203,0.192,0.266,0.248,0.356,0.373,0.026,0.044,0.035
"No sabe",0.151,0.12,0.179,0.117,0.157,0.172,0.165,0.192,0.149,0.108,0.234,0.056,0.127,0.128,0.163,0.175,0.163,0.197,0.124,0.022,0.06,0.027
