"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"A Julio Zamora por el Frente de Todos",0.339,0.33,0.348,0.28,0.385,0.304,0.357,0.399,0.338,0.27,0.364,0.286,0.337,0.542,0.193,0.276
"A Malena Galmarini por el Frente de Todos",0.11,0.1,0.119,0.082,0.135,0.104,0.093,0.058,0.142,0.121,0.127,0.064,0.112,0.155,0.086,0.159
"A Segundo Cernadas por Cambiemos",0.248,0.217,0.277,0.172,0.233,0.313,0.308,0.285,0.214,0.259,0.213,0.24,0.282,0.095,0.411,0.35
"A Nicolás Massot por Cambiemos",0.092,0.105,0.079,0.127,0.059,0.11,0.1,0.097,0.072,0.117,0.096,0.082,0.091,0.075,0.127,0.006
"Al candidato de los liberales libertarios",0.101,0.151,0.053,0.175,0.095,0.067,0.051,0.071,0.099,0.136,0.117,0.125,0.077,0.044,0.107,0.107
"A Paula Akerfeld por el Frente de Izquierda",0.03,0.025,0.035,0.066,0.016,0.018,0.034,0.026,0.036,0.027,0.011,0.077,0.03,0.02,0.026,0
"No sabe",0.08,0.072,0.089,0.098,0.077,0.084,0.057,0.064,0.099,0.07,0.072,0.126,0.071,0.069,0.05,0.102
