"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"aysa_1","Si",0.884,0.738,0.856,0.864,0.866,0.8,0.821,0.763,0.92
"aysa_1","No",0.116,0.262,0.144,0.136,0.134,0.2,0.179,0.237,0.08
"aysa_2","A la empresa Aysa en forma directa",0.621,0.585,0.831,0.869,0.832,0.786,0.884,0.787,0.828
"aysa_2","Al Country, barrio, consorcio donde vivo y está conectada a la de la empresa Aysa",0.301,0.139,0.044,0.04,0.028,0.021,0.032,0.072,0.043
"aysa_2","Es una red desvinculada de la empresa Aysa",0.01,0.276,0.05,0.061,0.069,0.11,0.037,0.077,0.09
"aysa_2","No sabe",0.068,0,0.075,0.03,0.071,0.083,0.047,0.064,0.039
"aysa_3","Si desmejoró",0.14,0.602,0.263,0.304,0.299,0.455,0.429,0.53,0.317
"aysa_3","No desmejoró",0.86,0.398,0.737,0.696,0.701,0.545,0.571,0.47,0.683
"aysa_4","Color",0.226,0.066,0.191,0.398,0.214,0.19,0.27,0.32,0.035
"aysa_4","Olor",0.531,0.118,0.097,0.173,0.174,0.2,0.199,0.23,0.49
"aysa_4","Gusto",0.099,0.242,0.432,0.169,0.347,0.385,0.356,0.288,0.453
"aysa_4","Presión",0.144,0.574,0.28,0.26,0.265,0.225,0.175,0.162,0.022
"aysa_5","No",0.124,0.397,0.289,0.262,0.291,0.372,0.351,0.452,0.399
"aysa_5","Si. A la empresa AySA en forma directa",0.623,0.393,0.588,0.655,0.623,0.493,0.558,0.457,0.528
"aysa_5","Si. Al Country, barrio, consorcio donde vivo y está conectada a la de la empresa AySA",0.253,0.052,0.035,0.046,0.02,0.019,0.034,0.026,0.03
"aysa_5","Si. Es una red desvinculada de la empresa AySA",0,0.12,0.047,0.028,0.038,0.044,0.022,0.035,0
"aysa_5","No sabe",0,0.038,0.041,0.009,0.028,0.072,0.035,0.03,0.043
"aysa_6","Si desmejoró",0.435,0.63,0.286,0.181,0.173,0.412,0.309,0.465,0.186
"aysa_6","No desmejoró",0.565,0.37,0.714,0.819,0.827,0.588,0.691,0.535,0.814
"aysa_7","Tapa rota",0.347,0.207,0.583,0.61,0.541,0.396,0.499,0.51,0.572
"aysa_7","Boca de acceso rota",0.653,0,0.135,0.066,0.025,0.098,0.095,0.09,0.086
"aysa_7","Filtraciones en el sótano",0,0,0,0.014,0.01,0.064,0.016,0.073,0.059
"aysa_7","Olor químico en la cloaca",0,0.461,0.119,0.116,0.213,0.136,0.139,0.111,0.161
"aysa_7","Taponamiento",0,0.121,0.062,0.18,0.057,0.116,0.093,0.103,0
"aysa_7","Otro",0,0.211,0.101,0.014,0.154,0.19,0.158,0.113,0.122
