"var","categoria","Tapa rota","Boca de acceso rota","Filtraciones en el sótano","Olor químico en la cloaca","Taponamiento","Otro"
"aysa_1","Si",0.871,1,0.747,0.878,0.908,0.754
"aysa_1","No",0.129,0,0.253,0.122,0.092,0.246
"aysa_2","A la empresa Aysa en forma directa",0.783,0.685,0.493,0.769,0.944,0.896
"aysa_2","Al Country, barrio, consorcio donde vivo y está conectada a la de la empresa Aysa",0.061,0.182,0.305,0.134,0.028,0.003
"aysa_2","Es una red desvinculada de la empresa Aysa",0.099,0.064,0.189,0.033,0.028,0.013
"aysa_2","No sabe",0.057,0.069,0.013,0.064,0,0.088
"aysa_3","Si desmejoró",0.579,0.559,0.501,0.702,0.482,0.612
"aysa_3","No desmejoró",0.421,0.441,0.499,0.298,0.518,0.388
"aysa_4","Color",0.356,0.226,0.022,0.172,0.23,0.005
"aysa_4","Olor",0.248,0.262,0.02,0.175,0.371,0.124
"aysa_4","Gusto",0.368,0.466,0.728,0.478,0.179,0.223
"aysa_4","Presión",0.028,0.046,0.23,0.175,0.22,0.648
"P33","Gran excedente habitual",0.009,0.089,0,0,0,0
"P33","Gran excedente excepcional",0.002,0,0,0.018,0.006,0.008
"P33","Pequeño excedente habitual",0.076,0.094,0,0.057,0.043,0.048
"P33","Pequeño excedente excepcional",0.047,0.027,0.013,0.033,0.073,0.004
"P33","Alcanza gastos familia",0.118,0.029,0.027,0.173,0.065,0.126
"P33","No alcanza gastos familia",0.102,0.135,0.207,0.13,0.159,0.183
"P33","Solo NBFamiliares",0.284,0.287,0.115,0.294,0.28,0.334
"P33","No alcanza NBFamiliares",0.353,0.332,0.626,0.286,0.374,0.29
"P33","No sabe",0.009,0.007,0.012,0.009,0,0.007
"P45","Muy buena",0.083,0.006,0.013,0.062,0.024,0.11
"P45","Buena",0.071,0.085,0.103,0.009,0.022,0.102
"P45","Ni buena ni mala",0.168,0.058,0.017,0.131,0.191,0.125
"P45","Mala",0.195,0.249,0.248,0.118,0.222,0.11
"P45","Muy mala",0.482,0.602,0.619,0.68,0.541,0.553
"P45","No sabe",0.001,0,0,0,0,0
"P48","Muy buena",0.127,0.025,0.024,0.028,0.073,0.138
"P48","Buena",0.174,0.259,0.193,0.19,0.131,0.169
"P48","Ni buena ni mala",0.264,0.303,0.101,0.217,0.256,0.3
"P48","Mala",0.249,0.193,0.47,0.288,0.282,0.229
"P48","Muy mala",0.18,0.22,0.212,0.277,0.258,0.16
"P48","No sabe",0.006,0,0,0,0,0.004
"P51","Muy buena",0.179,0.072,0.095,0.051,0.194,0.2
"P51","Buena",0.075,0.059,0.013,0.08,0.027,0.061
"P51","Ni buena ni mala",0.108,0.167,0.04,0.127,0.034,0.141
"P51","Mala",0.153,0.119,0.237,0.049,0.102,0.091
"P51","Muy mala",0.483,0.583,0.615,0.675,0.643,0.499
"P51","No sabe",0.002,0,0,0.018,0,0.008
"P56","Muy buena",0.083,0.026,0.032,0,0.042,0.091
"P56","Buena",0.12,0.077,0.281,0.008,0.018,0.027
"P56","Ni buena ni mala",0.249,0.142,0.055,0.225,0.206,0.167
"P56","Mala",0.139,0.165,0.072,0.092,0.079,0.152
"P56","Muy mala",0.375,0.54,0.521,0.649,0.591,0.519
"P56","No sabe",0.034,0.05,0.039,0.026,0.064,0.044
