"var","categoria","A la empresa Aysa en forma directa","Al Country, barrio, consorcio donde vivo y está conectada a la de la empresa Aysa","Es una red desvinculada de la empresa Aysa","No sabe"
"aysa_3","Si desmejoró",0.439,0.191,0.308,0.351
"aysa_3","No desmejoró",0.561,0.809,0.692,0.649
"aysa_4","Color",0.258,0.57,0.348,0.252
"aysa_4","Olor",0.218,0.186,0.179,0.031
"aysa_4","Gusto",0.334,0.03,0.412,0.336
"aysa_4","Presión",0.19,0.214,0.061,0.381
"aysa_5","No",0.284,0.248,0.375,0.361
"aysa_5","Si. A la empresa AySA en forma directa",0.665,0.461,0.306,0.416
"aysa_5","Si. Al Country, barrio, consorcio donde vivo y está conectada a la de la empresa AySA",0.014,0.269,0.098,0.051
"aysa_5","Si. Es una red desvinculada de la empresa AySA",0.017,0.015,0.187,0.022
"aysa_5","No sabe",0.02,0.007,0.034,0.15
"aysa_6","Si desmejoró",0.28,0.595,0.405,0.331
"aysa_6","No desmejoró",0.72,0.405,0.595,0.669
"aysa_7","Tapa rota",0.501,0.373,0.702,0.504
"aysa_7","Boca de acceso rota",0.104,0.265,0.107,0.144
"aysa_7","Filtraciones en el sótano",0.017,0.102,0.073,0.006
"aysa_7","Olor químico en la cloaca",0.136,0.227,0.063,0.157
"aysa_7","Taponamiento",0.103,0.029,0.034,0
"aysa_7","Otro",0.139,0.004,0.021,0.189
"P33","Gran excedente habitual",0.007,0.062,0.001,0.011
"P33","Gran excedente excepcional",0.002,0.009,0.012,0
"P33","Pequeño excedente habitual",0.064,0.061,0.05,0.079
"P33","Pequeño excedente excepcional",0.058,0.048,0.052,0.027
"P33","Alcanza gastos familia",0.177,0.108,0.188,0.207
"P33","No alcanza gastos familia",0.095,0.046,0.169,0.136
"P33","Solo NBFamiliares",0.31,0.2,0.168,0.227
"P33","No alcanza NBFamiliares",0.274,0.454,0.342,0.304
"P33","No sabe",0.013,0.012,0.018,0.009
"P45","Muy buena",0.051,0.134,0.023,0.031
"P45","Buena",0.085,0.142,0.133,0.13
"P45","Ni buena ni mala",0.223,0.183,0.301,0.154
"P45","Mala",0.245,0.264,0.226,0.115
"P45","Muy mala",0.395,0.277,0.317,0.567
"P45","No sabe",0.001,0,0,0.003
"P48","Muy buena",0.075,0.089,0.052,0.067
"P48","Buena",0.161,0.244,0.106,0.115
"P48","Ni buena ni mala",0.283,0.232,0.355,0.405
"P48","Mala",0.271,0.322,0.311,0.164
"P48","Muy mala",0.202,0.109,0.168,0.246
"P48","No sabe",0.008,0.004,0.008,0.003
"P51","Muy buena",0.314,0.14,0.235,0.261
"P51","Buena",0.11,0.208,0.214,0.028
"P51","Ni buena ni mala",0.101,0.11,0.165,0.111
"P51","Mala",0.12,0.18,0.097,0.104
"P51","Muy mala",0.349,0.302,0.289,0.467
"P51","No sabe",0.006,0.06,0,0.029
"P56","Muy buena",0.086,0.1,0.044,0.101
"P56","Buena",0.147,0.235,0.167,0.104
"P56","Ni buena ni mala",0.274,0.207,0.344,0.296
"P56","Mala",0.125,0.205,0.128,0.09
"P56","Muy mala",0.299,0.247,0.183,0.356
"P56","No sabe",0.069,0.006,0.134,0.053
