"clase","Todos","GBA2","CABA","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Color",0.269,0.274,0.253,0.284,0.254,0.235,0.269,0.26,0.323,0.299,0.273,0.239,0.296,0.264,0.209
"Olor",0.205,0.201,0.217,0.2,0.21,0.232,0.209,0.185,0.188,0.152,0.213,0.239,0.152,0.228,0.289
"Gusto",0.331,0.333,0.326,0.316,0.346,0.338,0.372,0.294,0.287,0.328,0.31,0.36,0.32,0.335,0.294
"Presión",0.195,0.192,0.204,0.2,0.19,0.195,0.15,0.261,0.202,0.221,0.204,0.162,0.232,0.173,0.208
