"clase","Todos","GBA2","CABA","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Tapa rota",0.501,0.5,0.503,0.509,0.494,0.601,0.509,0.459,0.432,0.49,0.548,0.451,0.543,0.485,0.636
"Boca de acceso rota",0.094,0.096,0.09,0.087,0.101,0.149,0.046,0.112,0.109,0.102,0.101,0.081,0.1,0.084,0.013
"Filtraciones en el sótano",0.04,0.039,0.042,0.043,0.037,0.042,0.043,0.019,0.062,0.075,0.021,0.042,0.046,0.046,0.012
"Olor químico en la cloaca",0.135,0.14,0.124,0.129,0.14,0.065,0.157,0.178,0.107,0.084,0.135,0.167,0.105,0.141,0.168
"Taponamiento",0.095,0.085,0.116,0.118,0.073,0.101,0.118,0.071,0.072,0.079,0.084,0.118,0.1,0.091,0.054
"Otro",0.135,0.14,0.125,0.114,0.155,0.042,0.127,0.161,0.218,0.17,0.111,0.141,0.106,0.153,0.117
