"var","categoria","No","Si. A la empresa AySA en forma directa","Si. Al Country, barrio, consorcio donde vivo y está conectada a la de la empresa AySA","Si. Es una red desvinculada de la empresa AySA","No sabe"
"aysa_1","Si",0.648,0.956,0.908,0.69,0.67
"aysa_1","No",0.352,0.044,0.092,0.31,0.33
"aysa_2","A la empresa Aysa en forma directa",0.814,0.899,0.36,0.516,0.614
"aysa_2","Al Country, barrio, consorcio donde vivo y está conectada a la de la empresa Aysa",0.038,0.033,0.368,0.024,0.011
"aysa_2","Es una red desvinculada de la empresa Aysa",0.08,0.031,0.186,0.416,0.078
"aysa_2","No sabe",0.068,0.037,0.086,0.044,0.297
"aysa_3","Si desmejoró",0.468,0.375,0.369,0.511,0.648
"aysa_3","No desmejoró",0.532,0.625,0.631,0.489,0.352
"aysa_4","Color",0.288,0.291,0.115,0.115,0.051
"aysa_4","Olor",0.219,0.219,0.422,0.102,0.056
"aysa_4","Gusto",0.282,0.354,0.223,0.714,0.312
"aysa_4","Presión",0.211,0.136,0.24,0.069,0.581
"P33","Gran excedente habitual",0.003,0.01,0.072,0,0
"P33","Gran excedente excepcional",0.004,0.003,0.007,0.014,0.004
"P33","Pequeño excedente habitual",0.051,0.07,0.074,0.092,0.074
"P33","Pequeño excedente excepcional",0.039,0.066,0.082,0.047,0.015
"P33","Alcanza gastos familia",0.136,0.196,0.113,0.199,0.135
"P33","No alcanza gastos familia",0.108,0.097,0.066,0.142,0.215
"P33","Solo NBFamiliares",0.276,0.295,0.317,0.191,0.29
"P33","No alcanza NBFamiliares",0.369,0.251,0.257,0.315,0.252
"P33","No sabe",0.014,0.012,0.012,0,0.015
"P45","Muy buena",0.07,0.043,0.013,0.058,0.051
"P45","Buena",0.098,0.082,0.191,0.077,0.059
"P45","Ni buena ni mala",0.242,0.218,0.18,0.151,0.207
"P45","Mala",0.201,0.248,0.25,0.213,0.333
"P45","Muy mala",0.387,0.408,0.366,0.501,0.35
"P45","No sabe",0.002,0.001,0,0,0
"P48","Muy buena",0.098,0.068,0.035,0.082,0.135
"P48","Buena",0.125,0.162,0.242,0.142,0.119
"P48","Ni buena ni mala",0.285,0.287,0.28,0.235,0.331
"P48","Mala",0.259,0.292,0.253,0.323,0.228
"P48","Muy mala",0.226,0.187,0.19,0.218,0.142
"P48","No sabe",0.007,0.004,0,0,0.045
"P51","Muy buena",0.308,0.304,0.3,0.173,0.133
"P51","Buena",0.115,0.107,0.166,0.166,0.089
"P51","Ni buena ni mala",0.103,0.094,0.136,0.128,0.184
"P51","Mala",0.125,0.111,0.1,0.139,0.244
"P51","Muy mala",0.344,0.372,0.293,0.394,0.279
"P51","No sabe",0.005,0.012,0.005,0,0.071
"P56","Muy buena",0.09,0.079,0.11,0.068,0.044
"P56","Buena",0.126,0.171,0.214,0.035,0.043
"P56","Ni buena ni mala",0.274,0.266,0.239,0.226,0.294
"P56","Mala",0.143,0.111,0.118,0.19,0.247
"P56","Muy mala",0.295,0.314,0.242,0.366,0.223
"P56","No sabe",0.072,0.059,0.077,0.115,0.149
