"clase","Opinión","Todos","GBA2","CABA","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Malena Galmarini","Positiva",0.227,0.24,0.197,0.211,0.242,0.228,0.2,0.25,0.248,0.24,0.228,0.215,0.384,0.085,0.231
"Malena Galmarini","Neutra",0.26,0.255,0.273,0.247,0.272,0.251,0.286,0.233,0.253,0.261,0.26,0.26,0.331,0.161,0.327
"Malena Galmarini","Negativa",0.443,0.428,0.475,0.476,0.412,0.393,0.451,0.464,0.46,0.395,0.453,0.466,0.21,0.696,0.41
"Malena Galmarini","No sabe",0.07,0.077,0.055,0.066,0.074,0.128,0.063,0.053,0.039,0.104,0.059,0.059,0.075,0.058,0.032
"Horacio Rodriguez Larreta","Positiva",0.235,0.231,0.243,0.202,0.266,0.185,0.254,0.221,0.275,0.249,0.232,0.226,0.164,0.316,0.297
"Horacio Rodriguez Larreta","Neutra",0.291,0.309,0.251,0.282,0.3,0.23,0.289,0.301,0.357,0.321,0.299,0.26,0.279,0.3,0.318
"Horacio Rodriguez Larreta","Negativa",0.463,0.447,0.501,0.509,0.42,0.563,0.451,0.469,0.359,0.411,0.46,0.508,0.541,0.381,0.385
"Horacio Rodriguez Larreta","No sabe",0.011,0.013,0.005,0.007,0.014,0.022,0.006,0.009,0.009,0.019,0.009,0.006,0.016,0.003,0
"Axel Kicillof","Positiva",0.4,0.417,0.36,0.375,0.424,0.339,0.421,0.422,0.402,0.448,0.37,0.401,0.696,0.119,0.301
"Axel Kicillof","Neutra",0.114,0.118,0.104,0.095,0.131,0.122,0.12,0.096,0.115,0.129,0.128,0.085,0.11,0.088,0.178
"Axel Kicillof","Negativa",0.475,0.455,0.523,0.518,0.435,0.52,0.45,0.477,0.472,0.406,0.493,0.506,0.181,0.787,0.517
"Axel Kicillof","No sabe",0.011,0.01,0.013,0.012,0.01,0.019,0.009,0.005,0.011,0.017,0.009,0.008,0.013,0.006,0.004
"Alberto Fernandez","Positiva",0.15,0.162,0.123,0.12,0.177,0.14,0.14,0.17,0.157,0.237,0.14,0.097,0.23,0.075,0.182
"Alberto Fernandez","Neutra",0.223,0.244,0.173,0.23,0.216,0.196,0.218,0.242,0.241,0.248,0.226,0.2,0.362,0.079,0.202
"Alberto Fernandez","Negativa",0.625,0.593,0.701,0.648,0.605,0.664,0.64,0.587,0.598,0.515,0.633,0.699,0.406,0.845,0.616
"Alberto Fernandez","No sabe",0.002,0.001,0.003,0.002,0.002,0,0.002,0.001,0.004,0,0.001,0.004,0.002,0.001,0
