"var","categoria","A Tolosa Paz por el Frente de todos","A Santilli y Manes por Juntos","A Del Caño por el Frente de Izquierda","A Espert por Avanza libertad","A Randazo por “Vamos con vos""","A Hotton por “+Valores”","Votaría en blanco o anularía"
"P08","Si",0.863,0.915,0.766,0.936,0.555,0.595,0.407
"P08","Puede ser",0.1,0.055,0.136,0.052,0.333,0.238,0.28
"P08","No",0.037,0.03,0.098,0.012,0.112,0.167,0.313
"P34","Gran excedente habitual",0.013,0.003,0,0.006,0,0,0.004
"P34","Gran excedente excepcional",0.008,0.001,0.037,0,0,0,0
"P34","Pequeño excedente habitual",0.052,0.029,0.012,0.044,0,0,0.045
"P34","Pequeño excedente excepcional",0.047,0.018,0.014,0.05,0.042,0.025,0.003
"P34","Alcanza gastos familia",0.122,0.117,0.062,0.172,0.091,0,0.064
"P34","No alcanza gastos familia",0.175,0.173,0.142,0.198,0.315,0.047,0.232
"P34","Solo NBFamiliares",0.241,0.318,0.31,0.195,0.079,0.372,0.24
"P34","No alcanza NBFamiliares",0.31,0.317,0.423,0.335,0.456,0.556,0.394
"P34","No sabe",0.032,0.024,0,0,0.017,0,0.018
"P35","Muy buena",0.091,0.043,0,0.024,0,0.201,0.036
"P35","Buena",0.138,0.109,0.035,0.107,0,0.127,0.037
"P35","Ni buena ni mala",0.339,0.431,0.42,0.441,0.433,0.087,0.247
"P35","Mala",0.297,0.306,0.285,0.26,0.343,0.179,0.379
"P35","Muy mala",0.103,0.108,0.26,0.156,0.158,0.406,0.261
"P35","No sabe",0.032,0.003,0,0.012,0.066,0,0.04
"P36","Mejor",0.264,0.061,0.056,0.004,0.121,0,0.043
"P36","Igual",0.409,0.205,0.195,0.242,0.533,0.776,0.338
"P36","Peor",0.28,0.714,0.645,0.73,0.346,0.224,0.522
"P36","No sabe",0.047,0.02,0.104,0.024,0,0,0.097
"P37","Mejor",0.341,0.033,0.032,0.031,0.179,0.137,0.05
"P37","Igual",0.322,0.234,0.324,0.136,0.153,0,0.254
"P37","Peor",0.131,0.637,0.528,0.739,0.645,0.694,0.378
"P37","No sabe",0.206,0.096,0.116,0.094,0.023,0.169,0.318
"P46","Muy buena",0.361,0.018,0.015,0.014,0.18,0.386,0.215
"P46","Buena",0.292,0.025,0.136,0.004,0.137,0,0.054
"P46","Ni buena ni mala",0.176,0.114,0.1,0.057,0.249,0.25,0.23
"P46","Mala",0.075,0.21,0.365,0.199,0.177,0.102,0.046
"P46","Muy mala",0.081,0.631,0.384,0.723,0.257,0.239,0.307
"P46","No sabe",0.015,0.002,0,0.003,0,0.023,0.148
"P47","Muy buena",0.557,0.035,0.134,0.006,0.163,0.605,0.121
"P47","Buena",0.163,0.026,0.184,0.045,0.218,0.05,0.119
"P47","Ni buena ni mala",0.103,0.078,0.122,0.002,0.265,0.022,0.21
"P47","Mala",0.071,0.127,0.232,0.093,0.087,0.025,0.018
"P47","Muy mala",0.066,0.714,0.328,0.835,0.267,0.082,0.479
"P47","No sabe",0.04,0.02,0,0.019,0,0.216,0.053
"P48","Muy buena",0.034,0.208,0.012,0.007,0,0.223,0.081
"P48","Buena",0.039,0.256,0,0.128,0.116,0.423,0
"P48","Ni buena ni mala",0.043,0.347,0.15,0.435,0.113,0,0.195
"P48","Mala",0.19,0.111,0.163,0.191,0,0.082,0.035
"P48","Muy mala",0.692,0.073,0.549,0.212,0.771,0.248,0.555
"P48","No sabe",0.002,0.005,0.126,0.027,0,0.024,0.134
"P49","Muy buena",0.088,0.436,0.087,0.051,0.27,0.459,0.068
"P49","Buena",0.066,0.344,0.124,0.254,0.343,0.301,0.061
"P49","Ni buena ni mala",0.241,0.148,0.211,0.3,0.331,0.025,0.368
"P49","Mala",0.213,0.043,0.26,0.09,0,0.051,0.095
"P49","Muy mala",0.372,0.022,0.318,0.305,0.056,0.14,0.151
"P49","No sabe",0.02,0.007,0,0,0,0.024,0.257
"P50","Muy buena",0.178,0.012,0.088,0.003,0.109,0.223,0.017
"P50","Buena",0.307,0.051,0.057,0.002,0.272,0.258,0.052
"P50","Ni buena ni mala",0.274,0.137,0.106,0.059,0.449,0.244,0.195
"P50","Mala",0.123,0.196,0.108,0.193,0.026,0.051,0.238
"P50","Muy mala",0.102,0.565,0.496,0.743,0.144,0.199,0.3
"P50","No sabe",0.016,0.039,0.145,0,0,0.025,0.198
"P59","Muy buena",0.045,0.174,0,0.015,0.017,0.218,0
"P59","Buena",0.092,0.352,0.011,0.114,0.183,0.304,0.024
"P59","Ni buena ni mala",0.272,0.311,0.325,0.208,0.49,0.026,0.411
"P59","Mala",0.273,0.069,0.084,0.18,0.144,0.087,0.083
"P59","Muy mala",0.26,0.059,0.416,0.297,0.057,0.143,0.19
"P59","No sabe",0.058,0.035,0.164,0.186,0.109,0.222,0.292
"P61","Muy buena",0.022,0.158,0,0.022,0,0.215,0.018
"P61","Buena",0.062,0.194,0,0.052,0.084,0.215,0
"P61","Ni buena ni mala",0.246,0.32,0.472,0.332,0.23,0.198,0.316
"P61","Mala",0.143,0.088,0.046,0.087,0.159,0.134,0.16
"P61","Muy mala",0.272,0.049,0.101,0.252,0.218,0.124,0.152
"P61","No sabe",0.255,0.191,0.381,0.255,0.309,0.114,0.354
