"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Totalmente seguro",0.746,0.78,0.716,0.704,0.732,0.78,0.789,0.728,0.747,0.767,0.762,0.795,0.69,0.756,0.728,0.827,0.703,0.779,0.551,0.727
"Bastante seguro",0.094,0.091,0.096,0.124,0.103,0.069,0.066,0.076,0.107,0.094,0.103,0.069,0.127,0.097,0.087,0.068,0.131,0.094,0.167,0.11
"Algo seguro",0.072,0.058,0.084,0.069,0.088,0.052,0.064,0.079,0.065,0.075,0.055,0.077,0.091,0.066,0.083,0.049,0.089,0.09,0.098,0.082
"Para nada seguro",0.088,0.071,0.104,0.103,0.077,0.099,0.081,0.117,0.081,0.064,0.08,0.059,0.092,0.081,0.102,0.056,0.077,0.037,0.184,0.081
