"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco"
"P26","Totalmente seguro",0.792,0.737,0.75,0.444,0.509,0.57
"P26","Bastante seguro",0.083,0.116,0.087,0.071,0.189,0.19
"P26","Algo seguro",0.053,0.076,0.078,0.158,0.172,0.019
"P26","Para nada seguro",0.072,0.071,0.085,0.327,0.13,0.221
"P27","Tiene Decidido que va a ir a votar",0.929,0.924,0.95,0.893,0.79,0.561
"P27","Tiene dudas sobre si va a ir a  votar",0.061,0.05,0.042,0.062,0.197,0.2
"P27","Tiene Decidido que no va a ir a votar",0.01,0.026,0.008,0.045,0.013,0.239
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.873,0.134,0.122,0.201,0.229,0.055
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.057,0.777,0.385,0.215,0.376,0.105
"P28","En blanco",0.024,0.037,0.296,0.247,0.085,0.645
"P28","No sabe",0.046,0.052,0.197,0.337,0.31,0.195
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.228,0.781,0.127,0.23,0.319,0.094
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.139,0.745,0.158,0.242,0.263
"P29","En blanco",0.462,0.037,0.047,0.356,0.131,0.419
"P29","No sabe",0.245,0.043,0.081,0.256,0.308,0.224
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.874,0.177,0.095,0.343,0.287,0
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.046,0.28,0.826,0.204,0.297,0.35
"P30","En blanco",0.047,0.301,0.029,0.306,0.167,0.418
"P30","No sabe",0.033,0.242,0.05,0.147,0.249,0.232
"P38","Inflación",0.426,0.293,0.313,0.223,0.198,0.108
"P38","Desempleo",0.094,0.062,0.068,0.106,0.053,0.101
"P38","Corrupción",0.107,0.458,0.415,0.328,0.354,0.659
"P38","Inseguridad",0.151,0.105,0.155,0.087,0.122,0.022
"P38","Precio del dólar",0.059,0.011,0.001,0.006,0.191,0
"P38","Pobreza",0.067,0.018,0.022,0.052,0.039,0.11
"P38","Narcotráfico",0.02,0.006,0,0.014,0.037,0
"P38","Tarifas",0.005,0.004,0,0,0,0
"P38","Otro",0.056,0.031,0.023,0.184,0,0
"P38","No sabe",0.015,0.012,0.003,0,0.006,0
