"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.346,0.343,0.349,0.359,0.361,0.339,0.308,0.308,0.359,0.372,0.419,0.307,0.14,0.342,0.355,0.396,0.404,0.236,0.368,0.373
"Desempleo",0.083,0.069,0.095,0.078,0.091,0.089,0.065,0.095,0.097,0.047,0.106,0.044,0.227,0.076,0.097,0.121,0.121,0.043,0.065,0.04
"Corrupción",0.283,0.296,0.271,0.259,0.267,0.275,0.357,0.228,0.316,0.294,0.132,0.443,0.278,0.271,0.304,0.127,0.149,0.5,0.366,0.419
"Inseguridad",0.134,0.152,0.117,0.132,0.135,0.131,0.136,0.211,0.106,0.085,0.143,0.121,0.143,0.147,0.108,0.133,0.176,0.148,0.055,0.109
"Precio del dólar",0.034,0.03,0.038,0.035,0.032,0.037,0.034,0.029,0.043,0.027,0.046,0.021,0.074,0.04,0.023,0.045,0.03,0.013,0.058,0.016
"Pobreza",0.046,0.044,0.048,0.041,0.067,0.032,0.024,0.044,0.022,0.087,0.069,0.02,0.013,0.039,0.06,0.075,0.068,0.018,0.025,0.01
"Narcotráfico",0.012,0.004,0.018,0.003,0.002,0.015,0.038,0.025,0.004,0.008,0.016,0.003,0.031,0.014,0.007,0.017,0.022,0.001,0.017,0
"Tarifas",0.003,0.003,0.003,0,0.001,0.01,0.004,0.003,0.004,0.002,0.004,0.003,0,0.004,0.002,0.005,0.004,0.005,0,0
"Otro",0.046,0.04,0.053,0.068,0.033,0.061,0.029,0.03,0.045,0.067,0.052,0.027,0.094,0.052,0.035,0.067,0.026,0.036,0.043,0.015
"No sabe",0.013,0.019,0.008,0.025,0.011,0.011,0.005,0.027,0.004,0.011,0.013,0.011,0,0.015,0.009,0.014,0,0,0.003,0.018
