"var","categoria","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Gobernador y vicegobernador de la izquierda","En blanco"
"P26","Totalmente seguro",0.824,0.765,0.809,0.482,0.514
"P26","Bastante seguro",0.082,0.121,0.059,0.074,0.174
"P26","Algo seguro",0.052,0.069,0.085,0.154,0.096
"P26","Para nada seguro",0.042,0.045,0.047,0.29,0.216
"P27","Tiene Decidido que va a ir a votar",0.958,0.924,0.949,0.901,0.785
"P27","Tiene dudas sobre si va a ir a  votar",0.036,0.061,0.031,0.052,0.149
"P27","Tiene Decidido que no va a ir a votar",0.006,0.015,0.02,0.047,0.066
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.883,0.185,0.182,0.249,0.293
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.056,0.741,0.393,0.227,0.315
"P28","En blanco",0.035,0.031,0.28,0.236,0.159
"P28","No sabe",0.026,0.043,0.145,0.288,0.233
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.214,0.746,0.208,0.235,0.253
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.076,0.157,0.698,0.174,0.242
"P29","En blanco",0.487,0.051,0.046,0.379,0.225
"P29","No sabe",0.223,0.046,0.048,0.212,0.28
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.887,0.213,0.163,0.398,0.317
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.057,0.317,0.72,0.207,0.294
"P30","En blanco",0.043,0.273,0.066,0.267,0.169
"P30","No sabe",0.013,0.197,0.051,0.128,0.22
"P38","Inflación",0.424,0.325,0.305,0.254,0.258
"P38","Desempleo",0.08,0.065,0.077,0.117,0.06
"P38","Corrupción",0.11,0.421,0.418,0.318,0.396
"P38","Inseguridad",0.146,0.111,0.15,0.089,0.13
"P38","Precio del dólar",0.065,0.01,0.003,0.005,0.086
"P38","Pobreza",0.072,0.018,0.023,0.045,0.039
"P38","Narcotráfico",0.021,0.002,0,0.012,0.019
"P38","Tarifas",0.005,0.004,0,0,0
"P38","Otro",0.061,0.031,0.023,0.16,0
"P38","No sabe",0.016,0.013,0.001,0,0.012
