"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco","No sabe"
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.829,0.162,0.173,0.187,0.175,0.215,0.283,0.207
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.077,0.722,0.101,0.092,0.078,0.053,0.097,0.088
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.064,0.088,0.669,0.083,0.167,0.112,0.081,0.194
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.01,0.004,0.016,0.538,0,0.14,0,0
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.006,0.003,0.03,0.016,0.573,0.093,0.007,0.015
"P20","En blanco",0.003,0.01,0.004,0,0,0.13,0.39,0.019
"P20","No sabe",0.011,0.011,0.007,0.084,0.007,0.257,0.142,0.477
"P26","Totalmente seguro",0.841,0.75,0.783,0.48,0.516,0.356,0.41,0.216
"P26","Bastante seguro",0.066,0.118,0.101,0.149,0.156,0.113,0.094,0.093
"P26","Algo seguro",0.052,0.065,0.079,0.072,0.211,0.281,0.064,0.081
"P26","Para nada seguro",0.041,0.067,0.037,0.299,0.117,0.25,0.432,0.61
"P27","Tiene Decidido que va a ir a votar",0.949,0.93,0.914,0.868,0.951,0.849,0.571,0.761
"P27","Tiene dudas sobre si va a ir a  votar",0.038,0.054,0.072,0.086,0.023,0.127,0.286,0.176
"P27","Tiene Decidido que no va a ir a votar",0.013,0.016,0.014,0.046,0.026,0.024,0.143,0.063
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.891,0.17,0.165,0.288,0.29,0.21,0.217,0.175
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.061,0.772,0.377,0.166,0.416,0.156,0.065,0.157
"P28","En blanco",0.033,0.038,0.278,0.235,0.08,0.047,0.594,0.034
"P28","No sabe",0.015,0.02,0.18,0.311,0.214,0.587,0.124,0.634
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.225,0.769,0.174,0.262,0.483,0.203,0.043,0.117
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.071,0.14,0.717,0.169,0.099,0.089,0.018,0.225
"P29","En blanco",0.492,0.045,0.039,0.345,0.159,0.205,0.598,0.051
"P29","No sabe",0.212,0.046,0.07,0.224,0.259,0.503,0.341,0.607
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.879,0.206,0.157,0.443,0.355,0.24,0.224,0.245
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.048,0.285,0.766,0.133,0.319,0.239,0.034,0.299
"P30","En blanco",0.053,0.284,0.057,0.273,0.146,0.107,0.47,0.025
"P30","No sabe",0.02,0.225,0.02,0.151,0.18,0.414,0.272,0.431
"P38","Inflación",0.401,0.307,0.337,0.323,0.295,0.138,0.048,0.28
"P38","Desempleo",0.104,0.082,0.036,0.033,0.031,0.188,0.137,0.139
"P38","Corrupción",0.102,0.422,0.424,0.38,0.469,0.293,0.481,0.292
"P38","Inseguridad",0.145,0.128,0.122,0.077,0.1,0.24,0.258,0.098
"P38","Precio del dólar",0.058,0.011,0.018,0.005,0,0.102,0,0.04
"P38","Pobreza",0.081,0.015,0.016,0.054,0.074,0.007,0.076,0.029
"P38","Narcotráfico",0.02,0.001,0.004,0.013,0.019,0,0,0.038
"P38","Tarifas",0.005,0.003,0.001,0,0,0,0,0
"P38","Otro",0.065,0.028,0.033,0.115,0.012,0.017,0,0.016
"P38","No sabe",0.019,0.003,0.009,0,0,0.015,0,0.068
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.78,0.12,0.148,0.143,0.091,0.17,0.244,0.202
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.098,0.714,0.13,0.033,0.102,0.069,0.032,0.039
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.067,0.108,0.634,0.073,0.069,0.069,0.053,0.129
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.013,0.009,0.019,0.644,0.057,0.151,0.009,0
"GOBERNADOR","En blanco",0.031,0.037,0.062,0.02,0.674,0.261,0.489,0.119
"GOBERNADOR","No sabe",0.011,0.012,0.007,0.087,0.007,0.28,0.173,0.511
"CORTA_GOBERNADOR","Si",0.132,0.217,0.264,0.151,0.283,0.115,0.228,0.204
"CORTA_GOBERNADOR","No",0.868,0.783,0.736,0.849,0.717,0.885,0.772,0.796
