"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.092,0.085,0.1,0.074,0.108,0.059,0.134,0.126,0.089,0.032,0.084,0.105,0.027,0.075,0.095,0.135,0.121,0.071,0.016,6
"Buena",0.101,0.101,0.102,0.101,0.084,0.134,0.098,0.115,0.102,0.072,0.148,0.099,0.082,0,0.156,0.111,0.102,0.126,0.082,6
"Ni buena ni mala",0.272,0.259,0.286,0.23,0.257,0.312,0.319,0.323,0.275,0.161,0.288,0.239,0.308,0.353,0.202,0.29,0.259,0.271,0.247,6
"Mala",0.19,0.186,0.193,0.137,0.197,0.184,0.268,0.211,0.154,0.232,0.21,0.143,0.25,0.186,0.154,0.269,0.197,0.163,0.391,6
"Muy mala",0.277,0.307,0.244,0.383,0.275,0.26,0.127,0.162,0.292,0.474,0.197,0.343,0.254,0.301,0.343,0.152,0.256,0.321,0.179,6
"No sabe",0.068,0.062,0.075,0.075,0.079,0.051,0.054,0.063,0.088,0.029,0.073,0.071,0.079,0.085,0.05,0.043,0.065,0.048,0.085,6
"Positiva",0.193,0.186,0.202,0.175,0.192,0.193,0.232,0.241,0.191,0.104,0.232,0.204,0.109,0.075,0.251,0.246,0.223,0.197,0.098,4
"Neutra",0.272,0.259,0.286,0.23,0.257,0.312,0.319,0.323,0.275,0.161,0.288,0.239,0.308,0.353,0.202,0.29,0.259,0.271,0.247,4
"Negativa",0.467,0.493,0.437,0.52,0.472,0.444,0.395,0.373,0.446,0.706,0.407,0.486,0.504,0.487,0.497,0.421,0.453,0.484,0.57,4
"No sabe",0.068,0.062,0.075,0.075,0.079,0.051,0.054,0.063,0.088,0.029,0.073,0.071,0.079,0.085,0.05,0.043,0.065,0.048,0.085,4
