"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"Al candidato del Frente de Todos",0.337,0.323,0.351,0.353,0.271,0.378,0.422,0.327,0.337,0.359,0.378,0.377,0.382,0.238,0.336,0.26,0.527,0.173,0.068
"Al candidato de Juntos por el Cambio",0.262,0.27,0.254,0.219,0.277,0.311,0.222,0.274,0.254,0.255,0.254,0.232,0.43,0.303,0.263,0.184,0.144,0.569,0.088
"Al candidato de la Izquierda",0.066,0.077,0.055,0.025,0.095,0.057,0.079,0.08,0.04,0.098,0.057,0.069,0.02,0.077,0.109,0.062,0.06,0.073,0.014
"A otro candidato",0.16,0.194,0.127,0.213,0.183,0.117,0.065,0.148,0.168,0.167,0.188,0.19,0.091,0.099,0.199,0.142,0.122,0.066,0.581
"No sabe",0.175,0.136,0.213,0.19,0.174,0.137,0.212,0.171,0.201,0.121,0.123,0.132,0.077,0.283,0.093,0.352,0.147,0.119,0.249
