"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.117,0.142,0.089,0.071,0.142,0.123,0.121,0.141,0.107,0.088,0.176,0.127,0.049,0.073,0.129,0.094,0.16,0.078,0.067,6
"Buena",0.158,0.177,0.138,0.172,0.126,0.179,0.188,0.158,0.169,0.131,0.189,0.15,0.166,0.186,0.147,0.119,0.219,0.07,0.115,6
"Ni buena ni mala",0.291,0.26,0.325,0.255,0.268,0.343,0.342,0.37,0.265,0.186,0.266,0.281,0.268,0.278,0.279,0.387,0.292,0.296,0.444,6
"Mala",0.124,0.11,0.138,0.108,0.151,0.097,0.119,0.071,0.138,0.203,0.115,0.135,0.037,0.118,0.087,0.193,0.098,0.152,0.155,6
"Muy mala",0.22,0.247,0.193,0.334,0.214,0.164,0.118,0.149,0.235,0.342,0.164,0.21,0.334,0.261,0.221,0.201,0.154,0.296,0.146,6
"No sabe",0.09,0.064,0.117,0.06,0.099,0.094,0.112,0.111,0.086,0.05,0.09,0.097,0.146,0.084,0.137,0.006,0.077,0.108,0.073,6
"Positiva",0.275,0.319,0.227,0.243,0.268,0.302,0.309,0.299,0.276,0.219,0.365,0.277,0.215,0.259,0.276,0.213,0.379,0.148,0.182,4
"Neutra",0.291,0.26,0.325,0.255,0.268,0.343,0.342,0.37,0.265,0.186,0.266,0.281,0.268,0.278,0.279,0.387,0.292,0.296,0.444,4
"Negativa",0.344,0.357,0.331,0.442,0.365,0.261,0.237,0.22,0.373,0.545,0.279,0.345,0.371,0.379,0.308,0.394,0.252,0.448,0.301,4
"No sabe",0.09,0.064,0.117,0.06,0.099,0.094,0.112,0.111,0.086,0.05,0.09,0.097,0.146,0.084,0.137,0.006,0.077,0.108,0.073,4
