"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.065,0.079,0.051,0.031,0.07,0.084,0.085,0.093,0.051,0.035,0.109,0.08,0.045,0.007,0.071,0.046,0.088,0.054,0,6
"Buena",0.137,0.116,0.157,0.112,0.141,0.153,0.147,0.11,0.152,0.163,0.205,0.139,0.116,0.128,0.182,0.056,0.19,0.083,0.135,6
"Ni buena ni mala",0.385,0.341,0.429,0.314,0.386,0.409,0.478,0.457,0.351,0.304,0.286,0.405,0.388,0.396,0.401,0.422,0.385,0.389,0.336,6
"Mala",0.196,0.213,0.18,0.234,0.199,0.191,0.125,0.152,0.213,0.254,0.167,0.226,0.263,0.092,0.142,0.239,0.172,0.227,0.418,6
"Muy mala",0.157,0.206,0.108,0.254,0.165,0.078,0.078,0.121,0.167,0.214,0.119,0.118,0.147,0.268,0.19,0.174,0.11,0.205,0.099,6
"No sabe",0.06,0.045,0.075,0.055,0.039,0.085,0.087,0.067,0.066,0.03,0.114,0.032,0.041,0.109,0.014,0.063,0.055,0.042,0.012,6
"Positiva",0.202,0.195,0.208,0.143,0.211,0.237,0.232,0.203,0.203,0.198,0.314,0.219,0.161,0.135,0.253,0.102,0.278,0.137,0.135,4
"Neutra",0.385,0.341,0.429,0.314,0.386,0.409,0.478,0.457,0.351,0.304,0.286,0.405,0.388,0.396,0.401,0.422,0.385,0.389,0.336,4
"Negativa",0.353,0.419,0.288,0.488,0.364,0.269,0.203,0.273,0.38,0.468,0.286,0.344,0.41,0.36,0.332,0.413,0.282,0.432,0.517,4
"No sabe",0.06,0.045,0.075,0.055,0.039,0.085,0.087,0.067,0.066,0.03,0.114,0.032,0.041,0.109,0.014,0.063,0.055,0.042,0.012,4
