"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Gustavo Menéndez",0.473,0.601,0.339,0.465,0.515,0.558,0.235,0.555,0.477,0.296,0.594,0.504,0.395,0.229,0.664,0.437,0.414,0.757,0.242
"A Karina Menéndez",0.226,0.171,0.283,0.1,0.304,0.21,0.265,0.202,0.25,0.221,0.207,0.234,0.277,0.297,0.188,0.16,0.242,0.066,0.758
"A Florencia Lizaraso",0.136,0.087,0.187,0.3,0.029,0.113,0.166,0.148,0.083,0.228,0.077,0.106,0.221,0.096,0.048,0.285,0.145,0.14,0
"A Raúl Otahacé",0.063,0.02,0.109,0,0.05,0.045,0.241,0.08,0.023,0.119,0.042,0.055,0.009,0.202,0.036,0.03,0.072,0.011,0
"No sabe",0.102,0.121,0.082,0.135,0.102,0.074,0.093,0.015,0.167,0.136,0.08,0.101,0.098,0.176,0.064,0.088,0.127,0.026,0
