"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Mejor",0.213,0.256,0.172,0.244,0.173,0.236,0.231,0.19,0.234,0.209,0.088,0.354,0.193,0.228,0.21,0.164,0.209,0.053,0.282
"Igual",0.197,0.205,0.189,0.174,0.2,0.196,0.225,0.217,0.209,0.162,0.086,0.311,0.248,0.198,0.224,0.231,0.18,0.07,0.305
"Peor",0.526,0.492,0.559,0.521,0.574,0.507,0.445,0.506,0.497,0.583,0.772,0.277,0.446,0.509,0.482,0.552,0.555,0.832,0.333
"No sabe",0.064,0.047,0.08,0.061,0.053,0.061,0.099,0.087,0.06,0.046,0.054,0.058,0.113,0.065,0.084,0.053,0.056,0.045,0.08
