"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Si",0.386,0.412,0.362,0.32,0.381,0.421,0.458,0.406,0.437,0.298,0.263,0.517,0.387,0.406,0.384,0.347,0.375,0.235,0.527
"No",0.551,0.515,0.584,0.609,0.565,0.518,0.468,0.547,0.492,0.634,0.688,0.434,0.528,0.539,0.559,0.524,0.561,0.721,0.426
"No sabe",0.063,0.073,0.054,0.071,0.054,0.061,0.074,0.047,0.071,0.068,0.049,0.049,0.085,0.055,0.057,0.129,0.064,0.044,0.047
