"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.162,0.183,0.142,0.178,0.151,0.161,0.165,0.191,0.17,0.124,0.071,0.275,0.101,0.187,0.158,0.165,0.142,0.056,0.182,6
"Buena",0.146,0.148,0.144,0.153,0.138,0.148,0.152,0.111,0.171,0.148,0.074,0.221,0.136,0.142,0.186,0.147,0.134,0.043,0.216,6
"Ni buena ni mala",0.275,0.276,0.275,0.273,0.274,0.286,0.265,0.311,0.274,0.242,0.2,0.324,0.315,0.27,0.279,0.316,0.272,0.19,0.348,6
"Mala",0.125,0.114,0.134,0.116,0.127,0.105,0.159,0.15,0.123,0.104,0.188,0.063,0.144,0.107,0.122,0.118,0.141,0.209,0.091,6
"Muy mala",0.256,0.25,0.263,0.251,0.285,0.257,0.197,0.182,0.228,0.362,0.429,0.091,0.286,0.259,0.203,0.232,0.279,0.458,0.134,6
"No sabe",0.036,0.029,0.042,0.029,0.025,0.043,0.062,0.055,0.034,0.02,0.038,0.026,0.018,0.035,0.052,0.022,0.032,0.044,0.029,6
"Positiva",0.308,0.331,0.286,0.331,0.289,0.309,0.317,0.302,0.341,0.272,0.145,0.496,0.237,0.329,0.344,0.312,0.276,0.099,0.398,4
"Neutra",0.275,0.276,0.275,0.273,0.274,0.286,0.265,0.311,0.274,0.242,0.2,0.324,0.315,0.27,0.279,0.316,0.272,0.19,0.348,4
"Negativa",0.381,0.364,0.397,0.367,0.412,0.362,0.356,0.332,0.351,0.466,0.617,0.154,0.43,0.366,0.325,0.35,0.42,0.667,0.225,4
"No sabe",0.036,0.029,0.042,0.029,0.025,0.043,0.062,0.055,0.034,0.02,0.038,0.026,0.018,0.035,0.052,0.022,0.032,0.044,0.029,4
"Positiva",0.471,0.499,0.444,0.484,0.448,0.493,0.474,0.438,0.518,0.442,0.205,0.748,0.362,0.51,0.464,0.448,0.444,0.115,0.768,2
"Negativa",0.493,0.472,0.514,0.487,0.528,0.464,0.465,0.507,0.448,0.538,0.757,0.226,0.62,0.455,0.483,0.53,0.524,0.85,0.202,2
"No sabe",0.036,0.029,0.042,0.029,0.024,0.043,0.061,0.055,0.034,0.02,0.038,0.026,0.018,0.035,0.053,0.022,0.032,0.035,0.03,2
