"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.209,0.18,0.238,0.187,0.212,0.215,0.228,0.204,0.18,0.251,0.441,0.036,0.106,0.18,0.123,0.213,0.268,0.485,0.066,6
"Buena",0.104,0.116,0.092,0.083,0.115,0.095,0.124,0.116,0.1,0.099,0.169,0.029,0.111,0.09,0.089,0.093,0.124,0.191,0.046,6
"Ni buena ni mala",0.151,0.124,0.177,0.181,0.15,0.135,0.127,0.217,0.155,0.083,0.167,0.095,0.263,0.152,0.261,0.133,0.108,0.176,0.1,6
"Mala",0.146,0.144,0.148,0.153,0.12,0.168,0.165,0.13,0.167,0.133,0.09,0.192,0.15,0.135,0.201,0.186,0.127,0.064,0.204,6
"Muy mala",0.376,0.423,0.329,0.38,0.391,0.368,0.345,0.312,0.381,0.429,0.119,0.636,0.356,0.426,0.289,0.361,0.37,0.064,0.577,6
"No sabe",0.014,0.013,0.016,0.016,0.012,0.019,0.011,0.021,0.017,0.005,0.014,0.012,0.014,0.017,0.037,0.014,0.003,0.02,0.007,6
"Positiva",0.313,0.296,0.33,0.27,0.327,0.31,0.352,0.32,0.28,0.35,0.61,0.065,0.217,0.27,0.212,0.306,0.392,0.676,0.112,4
"Neutra",0.151,0.124,0.177,0.181,0.15,0.135,0.127,0.217,0.155,0.083,0.167,0.095,0.263,0.152,0.261,0.133,0.108,0.176,0.1,4
"Negativa",0.522,0.567,0.477,0.533,0.511,0.536,0.51,0.442,0.548,0.562,0.209,0.828,0.506,0.561,0.49,0.547,0.497,0.128,0.781,4
"No sabe",0.014,0.013,0.016,0.016,0.012,0.019,0.011,0.021,0.017,0.005,0.014,0.012,0.014,0.017,0.037,0.014,0.003,0.02,0.007,4
"Positiva",0.389,0.356,0.42,0.364,0.399,0.384,0.406,0.417,0.358,0.4,0.707,0.097,0.348,0.339,0.354,0.375,0.445,0.825,0.085,2
"Negativa",0.597,0.631,0.564,0.62,0.589,0.597,0.583,0.563,0.625,0.595,0.279,0.891,0.638,0.644,0.609,0.61,0.552,0.157,0.905,2
"No sabe",0.014,0.013,0.016,0.016,0.012,0.019,0.011,0.02,0.017,0.005,0.014,0.012,0.014,0.017,0.037,0.015,0.003,0.018,0.01,2
