"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Sin deuda",0.313,0.333,0.294,0.349,0.254,0.34,0.365,0.298,0.3,0.344,0.248,0.387,0.267,0.325,0.265,0.293,0.325,0.255,0.378
"Menos de 10%",0.153,0.15,0.156,0.167,0.143,0.145,0.166,0.133,0.163,0.16,0.145,0.171,0.136,0.155,0.133,0.17,0.156,0.148,0.169
"Entre 10 y 20%",0.123,0.12,0.126,0.091,0.11,0.164,0.145,0.137,0.116,0.119,0.123,0.132,0.106,0.125,0.1,0.154,0.127,0.119,0.125
"Entre 20 y 30%",0.097,0.112,0.084,0.102,0.111,0.077,0.087,0.105,0.098,0.09,0.115,0.075,0.129,0.089,0.114,0.084,0.1,0.108,0.088
"Entre 30 y 40%",0.084,0.084,0.083,0.064,0.105,0.077,0.07,0.09,0.083,0.078,0.108,0.069,0.099,0.085,0.079,0.052,0.088,0.098,0.062
"Mas del 40%",0.18,0.157,0.201,0.167,0.233,0.149,0.113,0.162,0.192,0.18,0.211,0.137,0.23,0.174,0.247,0.201,0.155,0.212,0.137
"No sabe",0.05,0.044,0.056,0.06,0.044,0.048,0.054,0.075,0.048,0.029,0.05,0.029,0.033,0.047,0.062,0.046,0.049,0.06,0.041
