"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P10","Siempre",0.383,0.089,0.165,0.15,0.178,0.134,0.18,0.226,0.156
"P10","Casi siempre",0.201,0.226,0.37,0.306,0.33,0.361,0.316,0.253,0.164
"P10","Casi nunca",0.258,0.619,0.358,0.367,0.356,0.346,0.351,0.349,0.283
"P10","Nunca, pero esta es una excepción",0.158,0.066,0.107,0.177,0.136,0.159,0.153,0.172,0.397
"P11","El gobierno de Javier Milei",0.168,0.165,0.175,0.2,0.191,0.316,0.248,0.424,0.09
"P11","El gobierno de Alberto Fernández",0.741,0.58,0.63,0.661,0.653,0.43,0.555,0.353,0.594
"P11","Ambos",0.067,0.238,0.155,0.117,0.133,0.219,0.155,0.158,0.065
"P11","No sabe",0.024,0.017,0.04,0.022,0.023,0.035,0.042,0.065,0.251
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.426,0.234,0.109,0.144,0.206,0.156,0.168,0.178,0.256
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.219,0.327,0.364,0.47,0.372,0.355,0.364,0.281,0.373
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.165,0.046,0.158,0.121,0.145,0.148,0.124,0.118,0.113
"P12","Retirarla y no presentar nada",0.033,0.19,0.19,0.147,0.148,0.252,0.224,0.289,0.093
"P12","Volverla a presentar igual",0.101,0.027,0.156,0.091,0.101,0.051,0.08,0.046,0.026
"P12","No sabe",0.056,0.176,0.023,0.027,0.028,0.038,0.04,0.088,0.139
"P13","Javier Milei",0.734,0.469,0.543,0.596,0.603,0.369,0.509,0.35,0.441
"P13","Los gobernadores",0.173,0.223,0.346,0.323,0.332,0.49,0.384,0.502,0.322
"P13","No sabe",0.093,0.308,0.111,0.081,0.065,0.141,0.107,0.148,0.237
"P14","Muy de acuerdo",0.125,0.173,0.211,0.179,0.17,0.253,0.206,0.348,0.152
"P14","De acuerdo",0.116,0.022,0.145,0.132,0.142,0.166,0.142,0.136,0.127
"P14","Ni de acuerdo ni en desacuerdo",0.031,0.389,0.143,0.145,0.141,0.223,0.22,0.265,0.1
"P14","En desacuerdo",0.219,0.123,0.219,0.237,0.31,0.237,0.254,0.161,0.319
"P14","Muy en desacuerdo",0.485,0.282,0.282,0.273,0.226,0.107,0.156,0.069,0.212
"P14","No sabe",0.024,0.011,0,0.034,0.011,0.014,0.022,0.021,0.09
"P15","Muy de acuerdo",0.563,0.267,0.486,0.465,0.505,0.292,0.408,0.299,0.31
"P15","De acuerdo",0.179,0.114,0.128,0.142,0.127,0.168,0.171,0.112,0.339
"P15","Ni de acuerdo ni en desacuerdo",0.099,0.326,0.193,0.142,0.141,0.249,0.192,0.279,0.103
"P15","En desacuerdo",0.025,0.068,0.11,0.128,0.13,0.176,0.137,0.17,0.05
"P15","Muy en desacuerdo",0.105,0.17,0.067,0.083,0.071,0.067,0.073,0.081,0.085
"P15","No sabe",0.029,0.055,0.016,0.04,0.026,0.048,0.019,0.059,0.113
"P16","Muy positivo",0.647,0.344,0.399,0.497,0.531,0.307,0.469,0.292,0.591
"P16","Positivo",0.02,0.187,0.121,0.125,0.089,0.173,0.12,0.119,0.272
"P16","Ni positivo ni negativo",0.253,0,0.183,0.135,0.098,0.189,0.151,0.191,0.014
"P16","Negativo",0.051,0.195,0.1,0.085,0.15,0.168,0.105,0.219,0.085
"P16","Muy negativo",0.013,0.274,0.192,0.148,0.124,0.116,0.145,0.155,0.038
"P16","No sabe",0.016,0,0.005,0.01,0.008,0.047,0.01,0.024,0
"P17","Si",0.598,0.485,0.411,0.465,0.43,0.328,0.393,0.347,0.416
"P17","No",0.389,0.515,0.55,0.485,0.524,0.573,0.535,0.597,0.384
"P17","No sabe",0.013,0,0.039,0.05,0.046,0.099,0.072,0.056,0.2
"P18","Salva muchas vidas",0.118,0.265,0.176,0.274,0.153,0.217,0.219,0.233,0.157
"P18","Logra disminuir la cantidad de abortos que se producen",0.19,0,0.134,0.121,0.103,0.13,0.156,0.124,0.01
"P18","Representa una reasignación del gasto público en algo más necesario",0.357,0.211,0.179,0.078,0.182,0.088,0.137,0.167,0.629
"P18","Deja desprotegidas a las mujeres que lo hacen clandestinamente",0.205,0.128,0.221,0.247,0.274,0.298,0.194,0.2,0.064
