"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.048,0.059,0.038,0.061,0.052,0.037,0.034,0.063,0.041,0.043,0.029,0.068,0.055,0.062,0.039,0.035,0.041,0.038,0.051,6
"Buena",0.149,0.152,0.146,0.14,0.142,0.152,0.177,0.11,0.142,0.196,0.099,0.203,0.206,0.172,0.143,0.17,0.13,0.097,0.2,6
"Ni buena ni mala",0.401,0.432,0.371,0.381,0.372,0.442,0.441,0.374,0.423,0.398,0.36,0.46,0.315,0.37,0.397,0.479,0.418,0.337,0.476,6
"Mala",0.303,0.269,0.336,0.314,0.323,0.278,0.274,0.34,0.296,0.276,0.403,0.213,0.284,0.291,0.332,0.239,0.311,0.406,0.212,6
"Muy mala",0.088,0.076,0.099,0.097,0.1,0.08,0.058,0.099,0.087,0.079,0.103,0.05,0.102,0.095,0.075,0.075,0.089,0.114,0.052,6
"No sabe",0.011,0.012,0.01,0.007,0.011,0.011,0.016,0.014,0.011,0.008,0.006,0.006,0.038,0.01,0.014,0.002,0.011,0.008,0.009,6
"Positiva",0.197,0.211,0.184,0.201,0.194,0.189,0.211,0.173,0.183,0.239,0.128,0.271,0.261,0.234,0.182,0.205,0.171,0.135,0.251,4
"Neutra",0.401,0.432,0.371,0.381,0.372,0.442,0.441,0.374,0.423,0.398,0.36,0.46,0.315,0.37,0.397,0.479,0.418,0.337,0.476,4
"Negativa",0.391,0.345,0.435,0.411,0.423,0.358,0.332,0.439,0.383,0.355,0.506,0.263,0.386,0.386,0.407,0.314,0.4,0.52,0.264,4
"No sabe",0.011,0.012,0.01,0.007,0.011,0.011,0.016,0.014,0.011,0.008,0.006,0.006,0.038,0.01,0.014,0.002,0.011,0.008,0.009,4
