"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.119,0.104,0.135,0.142,0.115,0.105,0.117,0.164,0.128,0.066,0.217,0.028,0.143,0.109,0.13,0.123,0.123,0.287,0.031,6
"Buena",0.12,0.107,0.133,0.092,0.116,0.138,0.146,0.113,0.107,0.143,0.244,0.02,0.072,0.09,0.099,0.133,0.152,0.272,0.043,6
"Ni buena ni mala",0.183,0.177,0.188,0.181,0.205,0.165,0.159,0.187,0.182,0.181,0.26,0.095,0.208,0.171,0.255,0.171,0.166,0.27,0.089,6
"Mala",0.195,0.191,0.198,0.163,0.181,0.234,0.219,0.214,0.186,0.186,0.132,0.235,0.263,0.212,0.213,0.186,0.174,0.093,0.249,6
"Muy mala",0.377,0.415,0.339,0.417,0.377,0.347,0.357,0.313,0.391,0.419,0.137,0.619,0.314,0.412,0.299,0.375,0.378,0.071,0.58,6
"No sabe",0.006,0.006,0.007,0.005,0.006,0.011,0.002,0.009,0.006,0.005,0.01,0.003,0,0.006,0.004,0.012,0.007,0.007,0.008,6
"Positiva",0.239,0.211,0.268,0.234,0.231,0.243,0.263,0.277,0.235,0.209,0.461,0.048,0.215,0.199,0.229,0.256,0.275,0.559,0.074,4
"Neutra",0.183,0.177,0.188,0.181,0.205,0.165,0.159,0.187,0.182,0.181,0.26,0.095,0.208,0.171,0.255,0.171,0.166,0.27,0.089,4
"Negativa",0.572,0.606,0.537,0.58,0.558,0.581,0.576,0.527,0.577,0.605,0.269,0.854,0.577,0.624,0.512,0.561,0.552,0.164,0.829,4
"No sabe",0.006,0.006,0.007,0.005,0.006,0.011,0.002,0.009,0.006,0.005,0.01,0.003,0,0.006,0.004,0.012,0.007,0.007,0.008,4
"Positiva",0.347,0.313,0.379,0.33,0.353,0.348,0.357,0.377,0.339,0.328,0.65,0.082,0.303,0.293,0.334,0.365,0.395,0.749,0.06,2
"Negativa",0.647,0.681,0.614,0.665,0.641,0.641,0.641,0.614,0.655,0.667,0.34,0.915,0.697,0.701,0.662,0.623,0.598,0.246,0.934,2
"No sabe",0.006,0.006,0.007,0.005,0.006,0.011,0.002,0.009,0.006,0.005,0.01,0.003,0,0.006,0.004,0.012,0.007,0.005,0.006,2
