"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.225,0.27,0.18,0.28,0.228,0.197,0.17,0.2,0.243,0.225,0.092,0.386,0.147,0.248,0.233,0.274,0.194,0.049,0.265,6
"Buena",0.194,0.187,0.2,0.145,0.171,0.228,0.273,0.172,0.205,0.2,0.072,0.306,0.285,0.228,0.197,0.161,0.168,0.051,0.329,6
"Ni buena ni mala",0.16,0.144,0.176,0.184,0.135,0.158,0.184,0.204,0.176,0.096,0.147,0.15,0.161,0.127,0.227,0.177,0.158,0.158,0.162,6
"Mala",0.181,0.182,0.181,0.163,0.194,0.189,0.171,0.233,0.172,0.144,0.279,0.074,0.219,0.159,0.183,0.15,0.204,0.29,0.109,6
"Muy mala",0.218,0.199,0.237,0.206,0.252,0.206,0.175,0.16,0.183,0.32,0.384,0.069,0.166,0.215,0.145,0.215,0.252,0.43,0.105,6
"No sabe",0.022,0.018,0.026,0.022,0.02,0.022,0.027,0.031,0.021,0.015,0.026,0.015,0.022,0.023,0.015,0.023,0.024,0.022,0.03,6
"Positiva",0.419,0.457,0.38,0.425,0.399,0.425,0.443,0.372,0.448,0.425,0.164,0.692,0.432,0.476,0.43,0.435,0.362,0.1,0.594,4
"Neutra",0.16,0.144,0.176,0.184,0.135,0.158,0.184,0.204,0.176,0.096,0.147,0.15,0.161,0.127,0.227,0.177,0.158,0.158,0.162,4
"Negativa",0.399,0.381,0.418,0.369,0.446,0.395,0.346,0.393,0.355,0.464,0.663,0.143,0.385,0.374,0.328,0.365,0.456,0.72,0.214,4
"No sabe",0.022,0.018,0.026,0.022,0.02,0.022,0.027,0.031,0.021,0.015,0.026,0.015,0.022,0.023,0.015,0.023,0.024,0.022,0.03,4
