"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.111,0.101,0.122,0.077,0.093,0.119,0.195,0.12,0.105,0.111,0.028,0.233,0.077,0.138,0.096,0.051,0.103,0.031,0.251,6
"Buena",0.165,0.179,0.151,0.136,0.158,0.189,0.189,0.146,0.176,0.167,0.043,0.316,0.133,0.174,0.171,0.203,0.149,0.032,0.291,6
"Ni buena ni mala",0.214,0.228,0.199,0.263,0.209,0.19,0.183,0.221,0.238,0.177,0.138,0.252,0.256,0.211,0.217,0.255,0.209,0.114,0.189,6
"Mala",0.217,0.208,0.226,0.229,0.225,0.204,0.198,0.29,0.209,0.158,0.286,0.118,0.276,0.191,0.261,0.234,0.219,0.291,0.117,6
"Muy mala",0.287,0.278,0.296,0.291,0.31,0.289,0.225,0.212,0.269,0.381,0.499,0.077,0.257,0.276,0.254,0.253,0.314,0.526,0.15,6
"No sabe",0.006,0.006,0.006,0.004,0.005,0.009,0.01,0.011,0.003,0.006,0.006,0.004,0.001,0.01,0.001,0.004,0.006,0.006,0.002,6
"Positiva",0.276,0.28,0.273,0.213,0.251,0.308,0.384,0.266,0.281,0.278,0.071,0.549,0.21,0.312,0.267,0.254,0.252,0.063,0.542,4
"Neutra",0.214,0.228,0.199,0.263,0.209,0.19,0.183,0.221,0.238,0.177,0.138,0.252,0.256,0.211,0.217,0.255,0.209,0.114,0.189,4
"Negativa",0.504,0.486,0.522,0.52,0.535,0.493,0.423,0.502,0.478,0.539,0.785,0.195,0.533,0.467,0.515,0.487,0.533,0.817,0.267,4
"No sabe",0.006,0.006,0.006,0.004,0.005,0.009,0.01,0.011,0.003,0.006,0.006,0.004,0.001,0.01,0.001,0.004,0.006,0.006,0.002,4
"Positiva",0.406,0.436,0.378,0.352,0.389,0.439,0.482,0.4,0.415,0.401,0.122,0.744,0.339,0.447,0.378,0.398,0.384,0.074,0.688,2
"Negativa",0.587,0.558,0.615,0.644,0.606,0.552,0.508,0.589,0.581,0.593,0.872,0.252,0.66,0.543,0.621,0.598,0.61,0.921,0.305,2
"No sabe",0.007,0.006,0.007,0.004,0.005,0.009,0.01,0.011,0.004,0.006,0.006,0.004,0.001,0.01,0.001,0.004,0.006,0.005,0.007,2
