"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Siempre",0.176,0.182,0.171,0.163,0.15,0.2,0.231,0.223,0.161,0.15,0.173,0.189,0.177,0.177,0.169,0.147,0.182,0.205,0.186
"Casi siempre",0.281,0.276,0.287,0.207,0.279,0.328,0.34,0.244,0.278,0.325,0.287,0.292,0.296,0.289,0.271,0.325,0.273,0.288,0.333
"Casi nunca",0.348,0.331,0.363,0.327,0.379,0.35,0.3,0.33,0.35,0.363,0.349,0.354,0.333,0.346,0.321,0.331,0.363,0.34,0.358
"Nunca, pero esta es una excepción",0.195,0.211,0.179,0.303,0.192,0.122,0.129,0.203,0.211,0.162,0.191,0.165,0.194,0.188,0.239,0.197,0.182,0.167,0.123
