"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"El gobierno de Javier Milei",0.292,0.278,0.306,0.28,0.315,0.282,0.272,0.317,0.268,0.301,0.544,0.085,0.203,0.261,0.249,0.312,0.334,0.629,0.106
"El gobierno de Alberto Fernández",0.48,0.507,0.455,0.443,0.458,0.527,0.528,0.423,0.504,0.507,0.205,0.793,0.43,0.52,0.47,0.461,0.454,0.111,0.736
"Ambos",0.164,0.148,0.179,0.19,0.168,0.143,0.143,0.164,0.165,0.163,0.19,0.09,0.276,0.161,0.195,0.16,0.154,0.194,0.123
"No sabe",0.064,0.067,0.06,0.087,0.059,0.048,0.057,0.096,0.063,0.029,0.061,0.032,0.091,0.058,0.086,0.067,0.058,0.066,0.035
