"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Si",0.473,0.521,0.429,0.472,0.466,0.5,0.454,0.487,0.517,0.402,0.235,0.715,0.492,0.489,0.479,0.366,0.472,0.184,0.627
"No",0.426,0.37,0.478,0.437,0.45,0.396,0.39,0.4,0.389,0.5,0.679,0.163,0.406,0.414,0.409,0.408,0.445,0.75,0.223
"No sabe",0.101,0.109,0.093,0.091,0.084,0.104,0.156,0.113,0.094,0.098,0.086,0.122,0.102,0.097,0.112,0.226,0.083,0.066,0.15
