"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.032,0.029,0.036,0.027,0.039,0.025,0.034,0.058,0.022,0.022,0.033,0.03,0.056,0.025,0.069,0.017,0.027,0.033,0.041,6
"Buena",0.088,0.089,0.087,0.108,0.059,0.088,0.126,0.095,0.098,0.07,0.074,0.107,0.071,0.091,0.109,0.107,0.076,0.059,0.129,6
"Ni buena ni mala",0.298,0.261,0.334,0.346,0.262,0.296,0.315,0.337,0.324,0.233,0.257,0.317,0.327,0.262,0.383,0.39,0.285,0.251,0.315,6
"Mala",0.285,0.297,0.272,0.252,0.285,0.313,0.289,0.252,0.284,0.313,0.282,0.289,0.287,0.317,0.241,0.248,0.277,0.286,0.286,6
"Muy mala",0.277,0.311,0.244,0.251,0.329,0.264,0.214,0.224,0.252,0.354,0.327,0.243,0.239,0.291,0.178,0.235,0.308,0.342,0.225,6
"No sabe",0.02,0.013,0.027,0.016,0.026,0.014,0.022,0.034,0.02,0.008,0.027,0.014,0.02,0.014,0.02,0.003,0.027,0.029,0.004,6
"Positiva",0.12,0.118,0.123,0.135,0.098,0.113,0.16,0.153,0.12,0.092,0.107,0.137,0.127,0.116,0.178,0.124,0.103,0.092,0.17,4
"Neutra",0.298,0.261,0.334,0.346,0.262,0.296,0.315,0.337,0.324,0.233,0.257,0.317,0.327,0.262,0.383,0.39,0.285,0.251,0.315,4
"Negativa",0.562,0.608,0.516,0.503,0.614,0.577,0.503,0.476,0.536,0.667,0.609,0.532,0.526,0.608,0.419,0.483,0.585,0.628,0.511,4
"No sabe",0.02,0.013,0.027,0.016,0.026,0.014,0.022,0.034,0.02,0.008,0.027,0.014,0.02,0.014,0.02,0.003,0.027,0.029,0.004,4
