"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Muy de acuerdo",0.364,0.41,0.32,0.351,0.337,0.412,0.382,0.331,0.38,0.376,0.158,0.608,0.326,0.415,0.318,0.336,0.345,0.111,0.531
"De acuerdo",0.147,0.151,0.143,0.145,0.135,0.152,0.17,0.152,0.148,0.139,0.103,0.177,0.171,0.141,0.182,0.128,0.139,0.107,0.191
"Ni de acuerdo ni en desacuerdo",0.225,0.197,0.251,0.264,0.234,0.184,0.201,0.261,0.232,0.177,0.307,0.116,0.247,0.217,0.235,0.252,0.223,0.313,0.14
"En desacuerdo",0.149,0.132,0.165,0.115,0.169,0.153,0.147,0.151,0.13,0.174,0.253,0.055,0.157,0.118,0.145,0.179,0.173,0.284,0.074
"Muy en desacuerdo",0.072,0.076,0.069,0.081,0.082,0.058,0.055,0.06,0.062,0.099,0.12,0.031,0.07,0.074,0.067,0.057,0.075,0.12,0.047
"No sabe",0.043,0.034,0.052,0.044,0.043,0.041,0.045,0.045,0.048,0.035,0.059,0.013,0.029,0.035,0.053,0.048,0.045,0.065,0.017
