"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.126,0.152,0.101,0.109,0.114,0.136,0.167,0.136,0.123,0.121,0.052,0.218,0.121,0.161,0.112,0.109,0.104,0.023,0.196,6
"Buena",0.119,0.129,0.11,0.082,0.095,0.16,0.172,0.122,0.114,0.123,0.048,0.196,0.132,0.112,0.125,0.14,0.121,0.039,0.213,6
"Ni buena ni mala",0.359,0.348,0.37,0.391,0.369,0.341,0.316,0.387,0.398,0.287,0.289,0.396,0.407,0.347,0.387,0.38,0.356,0.303,0.379,6
"Mala",0.111,0.109,0.113,0.102,0.117,0.1,0.127,0.114,0.111,0.11,0.182,0.041,0.1,0.115,0.071,0.081,0.128,0.181,0.078,6
"Muy mala",0.189,0.185,0.192,0.202,0.209,0.175,0.139,0.133,0.157,0.277,0.327,0.068,0.144,0.168,0.174,0.198,0.209,0.369,0.071,6
"No sabe",0.096,0.077,0.114,0.114,0.096,0.088,0.079,0.108,0.097,0.082,0.102,0.081,0.096,0.097,0.131,0.092,0.082,0.085,0.063,6
"Positiva",0.245,0.281,0.211,0.191,0.209,0.296,0.339,0.258,0.237,0.244,0.1,0.414,0.253,0.273,0.237,0.249,0.225,0.062,0.409,4
"Neutra",0.359,0.348,0.37,0.391,0.369,0.341,0.316,0.387,0.398,0.287,0.289,0.396,0.407,0.347,0.387,0.38,0.356,0.303,0.379,4
"Negativa",0.3,0.294,0.305,0.304,0.326,0.275,0.266,0.247,0.268,0.387,0.509,0.109,0.244,0.283,0.245,0.279,0.337,0.55,0.149,4
"No sabe",0.096,0.077,0.114,0.114,0.096,0.088,0.079,0.108,0.097,0.082,0.102,0.081,0.096,0.097,0.131,0.092,0.082,0.085,0.063,4
"Positiva",0.446,0.486,0.406,0.38,0.415,0.51,0.523,0.479,0.445,0.416,0.158,0.741,0.454,0.468,0.444,0.442,0.428,0.083,0.734,2
"Negativa",0.458,0.437,0.48,0.506,0.489,0.402,0.398,0.413,0.458,0.502,0.739,0.178,0.45,0.435,0.425,0.466,0.49,0.835,0.164,2
"No sabe",0.096,0.077,0.114,0.114,0.096,0.088,0.079,0.108,0.097,0.082,0.103,0.081,0.096,0.097,0.131,0.092,0.082,0.082,0.102,2
