"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.139,0.159,0.12,0.16,0.121,0.132,0.161,0.142,0.137,0.14,0.045,0.264,0.091,0.152,0.142,0.111,0.131,0.028,0.203,6
"Buena",0.17,0.178,0.162,0.154,0.145,0.203,0.206,0.164,0.189,0.151,0.046,0.297,0.208,0.174,0.173,0.205,0.16,0.032,0.283,6
"Ni buena ni mala",0.248,0.239,0.256,0.261,0.246,0.246,0.234,0.27,0.288,0.178,0.178,0.277,0.335,0.24,0.324,0.27,0.223,0.155,0.288,6
"Mala",0.107,0.108,0.107,0.1,0.108,0.107,0.117,0.118,0.108,0.097,0.153,0.061,0.086,0.1,0.073,0.131,0.123,0.161,0.078,6
"Muy mala",0.301,0.296,0.306,0.286,0.339,0.29,0.25,0.253,0.251,0.407,0.548,0.076,0.235,0.303,0.224,0.26,0.334,0.585,0.135,6
"No sabe",0.035,0.02,0.049,0.039,0.041,0.022,0.032,0.053,0.027,0.027,0.03,0.025,0.045,0.031,0.064,0.023,0.029,0.039,0.013,6
"Positiva",0.309,0.337,0.282,0.314,0.266,0.335,0.367,0.306,0.326,0.291,0.091,0.561,0.299,0.326,0.315,0.316,0.291,0.06,0.486,4
"Neutra",0.248,0.239,0.256,0.261,0.246,0.246,0.234,0.27,0.288,0.178,0.178,0.277,0.335,0.24,0.324,0.27,0.223,0.155,0.288,4
"Negativa",0.408,0.404,0.413,0.386,0.447,0.397,0.367,0.371,0.359,0.504,0.701,0.137,0.321,0.403,0.297,0.391,0.457,0.746,0.213,4
"No sabe",0.035,0.02,0.049,0.039,0.041,0.022,0.032,0.053,0.027,0.027,0.03,0.025,0.045,0.031,0.064,0.023,0.029,0.039,0.013,4
"Positiva",0.476,0.515,0.439,0.484,0.43,0.514,0.519,0.466,0.521,0.43,0.167,0.796,0.473,0.511,0.471,0.455,0.451,0.075,0.795,2
"Negativa",0.489,0.465,0.512,0.477,0.53,0.464,0.449,0.481,0.452,0.542,0.803,0.179,0.482,0.458,0.465,0.523,0.52,0.888,0.174,2
"No sabe",0.035,0.02,0.049,0.039,0.04,0.022,0.032,0.053,0.027,0.028,0.03,0.025,0.045,0.031,0.064,0.022,0.029,0.037,0.031,2
