"var","categoria","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","Arabella Carreras por Unidos Bariloche","Pablo Chamátropulos por Podemos Bariloche","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora","No sabe"
"P05","Siempre",0.348,0.25,0.247,0.182,0.185,0.285,0.22
"P05","Casi siempre",0.306,0.34,0.281,0.333,0.36,0.27,0.223
"P05","Casi nunca",0.248,0.278,0.369,0.24,0.35,0.26,0.359
"P05","Nunca, pero esta es una excepción",0.098,0.132,0.103,0.245,0.105,0.185,0.198
"P07","Cambia Bariloche",0.395,0.184,0.11,0.159,0.01,0.171,0.089
"P07","Juntos Somos Río Negro",0.109,0.545,0.452,0.084,0.006,0.114,0.11
"P07","Unidos Bariloche",0.018,0,0.095,0.009,0.07,0.023,0.032
"P07","Podemos Bariloche",0.045,0.007,0.028,0.305,0.037,0.019,0.004
"P07","Vamos con Todos",0.013,0.044,0,0.227,0.419,0.051,0.001
"P07","Nos Une Río Negro",0.049,0.025,0.043,0.01,0.037,0.155,0.047
"P07","No sabe",0.371,0.195,0.272,0.206,0.421,0.467,0.717
"P08","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.656,0.087,0.024,0.036,0.077,0.031,0.11
"P08","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.095,0.49,0.125,0.045,0.02,0.07,0.027
"P08","Arabella Carreras por Unidos Bariloche",0.069,0.06,0.67,0.014,0,0,0.005
"P08","Pablo Chamátropulos por Podemos Bariloche",0,0.021,0.007,0.814,0.008,0.027,0
"P08","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.025,0.046,0.152,0.021,0.852,0.068,0.027
"P08","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.006,0.058,0,0.07,0.022,0.744,0.097
"P08","No sabe",0.149,0.238,0.022,0,0.021,0.06,0.734
"P09","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.714,0.025,0.074,0.041,0.114,0.023,0.081
"P09","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.101,0.508,0.083,0.011,0.182,0.033,0.045
"P09","Arabella Carreras por Unidos Bariloche",0.07,0.049,0.691,0.017,0,0.014,0.031
"P09","Pablo Chamátropulos por Podemos Bariloche",0,0.077,0.054,0.574,0.008,0.028,0
"P09","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.019,0.017,0.031,0.066,0.681,0.028,0.028
"P09","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.006,0.061,0.031,0.259,0,0.785,0.029
"P09","No sabe",0.09,0.263,0.036,0.032,0.015,0.089,0.786
"P10","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.541,0.025,0,0.34,0,0.03,0.092
"P10","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.111,0.32,0.059,0.011,0.004,0.071,0.11
"P10","Arabella Carreras por Unidos Bariloche",0.077,0.12,0.809,0,0.164,0.037,0.027
"P10","Pablo Chamátropulos por Podemos Bariloche",0.026,0.08,0.008,0.486,0.005,0,0.023
"P10","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.034,0.108,0.045,0.056,0.799,0,0.027
"P10","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.054,0.05,0.057,0.067,0.007,0.697,0.027
"P10","No sabe",0.157,0.297,0.022,0.04,0.021,0.165,0.694
"P11","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.696,0.028,0.02,0,0.1,0.014,0.066
"P11","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.143,0.401,0.05,0.218,0.101,0,0.05
"P11","Arabella Carreras por Unidos Bariloche",0.028,0.081,0.875,0.014,0.049,0.014,0.02
"P11","Pablo Chamátropulos por Podemos Bariloche",0.044,0.003,0,0.545,0,0,0
"P11","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0,0.092,0,0.142,0.736,0.169,0.012
"P11","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.006,0.109,0.045,0.071,0,0.661,0.026
"P11","No sabe",0.083,0.286,0.01,0.01,0.014,0.142,0.826
"P12","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.731,0.026,0.044,0.244,0.021,0,0.092
"P12","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.053,0.684,0.05,0,0.195,0.148,0.042
"P12","Arabella Carreras por Unidos Bariloche",0.069,0.081,0.714,0.015,0.008,0,0.013
"P12","Pablo Chamátropulos por Podemos Bariloche",0.002,0,0.038,0.447,0,0,0
"P12","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.003,0.034,0.04,0.16,0.761,0.041,0.09
"P12","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.063,0.113,0.02,0.105,0.012,0.667,0.017
