"var","categoria","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","Arabella Carreras por Unidos Bariloche","Pablo Chamátropulos por Podemos Bariloche","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora","No sabe"
"P05","Siempre",0.327,0.226,0.306,0.141,0.253,0.276,0.305
"P05","Casi siempre",0.284,0.389,0.43,0.502,0.31,0.212,0.244
"P05","Casi nunca",0.248,0.227,0.232,0.305,0.27,0.306,0.306
"P05","Nunca, pero esta es una excepción",0.141,0.158,0.032,0.052,0.167,0.206,0.145
"P07","Cambia Bariloche",0.414,0.106,0.163,0,0.072,0.162,0.096
"P07","Juntos Somos Río Negro",0.1,0.448,0.359,0.208,0.037,0.056,0.138
"P07","Unidos Bariloche",0.01,0.016,0.105,0.02,0.047,0,0.023
"P07","Podemos Bariloche",0.049,0.039,0.024,0.59,0.015,0.01,0.004
"P07","Vamos con Todos",0.05,0.019,0.046,0,0.331,0.115,0.006
"P07","Nos Une Río Negro",0.039,0.035,0.014,0,0.009,0.115,0.061
"P07","No sabe",0.338,0.337,0.289,0.182,0.489,0.542,0.672
"P08","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.667,0.097,0.078,0,0.071,0.141,0.034
"P08","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.095,0.437,0.051,0.042,0.04,0.119,0.088
"P08","Arabella Carreras por Unidos Bariloche",0.036,0.019,0.851,0,0.02,0.026,0.027
"P08","Pablo Chamátropulos por Podemos Bariloche",0.072,0.008,0,0.941,0.078,0,0.018
"P08","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0,0.188,0.02,0,0.721,0.052,0.019
"P08","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0,0,0,0.049,0.633,0
"P08","No sabe",0.13,0.251,0,0.017,0.021,0.029,0.814
"P09","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.577,0.063,0.163,0.018,0.105,0.184,0.04
"P09","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.132,0.561,0.047,0,0.037,0.01,0.107
"P09","Arabella Carreras por Unidos Bariloche",0.073,0.023,0.725,0,0.025,0.007,0.04
"P09","Pablo Chamátropulos por Podemos Bariloche",0.014,0,0.017,0.982,0.018,0.136,0.047
"P09","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.015,0.065,0.032,0,0.795,0,0.03
"P09","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.068,0.057,0.011,0,0.007,0.652,0.044
"P09","No sabe",0.121,0.231,0.005,0,0.013,0.011,0.692
"P10","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.732,0.022,0.041,0.033,0.048,0.048,0.015
"P10","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.07,0.329,0.057,0.024,0.061,0.083,0.06
"P10","Arabella Carreras por Unidos Bariloche",0.033,0.2,0.802,0,0.033,0,0.02
"P10","Pablo Chamátropulos por Podemos Bariloche",0.023,0.039,0.068,0.919,0.037,0,0.013
