"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca"
"Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.231,0.232,0.231,0.247,0.193,0.21,0.356,0.148,0.231,0.306,0.109,0.516,0.201,0.255,0.038,0.295
"Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.14,0.123,0.158,0.13,0.185,0.079,0.123,0.185,0.153,0.076,0.236,0.121,0.056,0.181,0.138,0
"Arabella Carreras por Unidos Bariloche",0.119,0.133,0.103,0.035,0.168,0.171,0.101,0.115,0.1,0.156,0.19,0.115,0.077,0.039,0.058,0.059
"Pablo Chamátropulos por Podemos Bariloche",0.052,0.065,0.037,0.073,0.028,0.063,0.049,0.028,0.073,0.035,0.039,0.021,0.038,0.197,0.041,0
"Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.148,0.15,0.146,0.221,0.114,0.161,0.032,0.25,0.115,0.116,0.151,0.122,0.368,0.073,0.516,0.164
"Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.072,0.076,0.067,0.061,0.079,0.066,0.09,0.042,0.066,0.109,0.078,0.034,0.154,0.04,0.157,0.149
"No sabe",0.238,0.221,0.258,0.233,0.233,0.25,0.249,0.232,0.262,0.202,0.197,0.071,0.106,0.215,0.052,0.333
