"var","categoria","Cambia Bariloche","Juntos Somos Río Negro","Unidos Bariloche","Podemos Bariloche","Vamos con Todos","Nos Une Río Negro","No sabe"
"P05","Siempre",0.356,0.173,0.214,0.075,0.244,0.396,0.181
"P05","Casi siempre",0.27,0.389,0.356,0.327,0.277,0.269,0.294
"P05","Casi nunca",0.224,0.322,0.376,0.36,0.3,0.202,0.345
"P05","Nunca, pero esta es una excepción",0.15,0.116,0.054,0.238,0.179,0.133,0.18
"P08","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.556,0.119,0.124,0.197,0.052,0.106,0.121
"P08","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.056,0.257,0.057,0.03,0.103,0.29,0.081
"P08","Arabella Carreras por Unidos Bariloche",0.098,0.202,0.494,0.106,0,0.137,0.111
"P08","Pablo Chamátropulos por Podemos Bariloche",0.037,0.014,0.025,0.556,0.216,0.012,0.025
"P08","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.02,0.107,0.176,0.011,0.523,0.153,0.161
"P08","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.081,0.064,0.061,0,0.1,0.245,0.083
"P08","No sabe",0.152,0.237,0.063,0.1,0.006,0.057,0.418
"P09","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.521,0.069,0.049,0,0.144,0.16,0.151
"P09","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.097,0.449,0.102,0.195,0.012,0.054,0.109
"P09","Arabella Carreras por Unidos Bariloche",0.041,0.233,0.324,0.104,0.025,0.054,0.108
"P09","Pablo Chamátropulos por Podemos Bariloche",0.028,0.01,0.128,0.558,0.057,0.099,0.028
"P09","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.026,0.032,0.139,0.014,0.431,0.113,0.149
"P09","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.112,0.023,0,0,0.311,0.251,0.069
"P09","No sabe",0.175,0.184,0.258,0.129,0.02,0.269,0.386
"P10","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.455,0.069,0.094,0.262,0.137,0.224,0.101
"P10","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.092,0.279,0.091,0,0.026,0.044,0.085
"P10","Arabella Carreras por Unidos Bariloche",0.1,0.274,0.266,0.225,0.037,0.047,0.152
"P10","Pablo Chamátropulos por Podemos Bariloche",0.016,0.06,0.017,0.396,0,0.017,0.041
"P10","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.008,0.03,0.271,0.019,0.686,0.341,0.133
"P10","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.122,0.031,0.057,0,0.093,0.287,0.093
"P10","No sabe",0.207,0.257,0.204,0.098,0.021,0.04,0.395
"P11","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.509,0.151,0.205,0.014,0.18,0.288,0.123
"P11","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.098,0.325,0.018,0.032,0.182,0,0.116
"P11","Arabella Carreras por Unidos Bariloche",0.073,0.229,0.334,0.268,0.014,0.118,0.088
"P11","Pablo Chamátropulos por Podemos Bariloche",0.018,0.012,0.012,0.488,0.02,0,0.043
"P11","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.083,0.011,0.237,0.137,0.545,0.135,0.126
"P11","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.095,0.024,0.043,0,0.059,0.309,0.074
"P11","No sabe",0.124,0.248,0.151,0.061,0,0.15,0.43
"P12","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.52,0.118,0.075,0.28,0.147,0.204,0.167
"P12","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.101,0.398,0.09,0.17,0.041,0.135,0.126
"P12","Arabella Carreras por Unidos Bariloche",0.108,0.225,0.417,0.074,0.071,0.038,0.076
"P12","Pablo Chamátropulos por Podemos Bariloche",0,0.027,0.017,0.377,0,0,0.01
"P12","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.054,0.026,0.21,0.052,0.579,0.028,0.145
"P12","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.085,0.028,0,0.023,0.141,0.249,0.112
"P12","No sabe",0.132,0.178,0.191,0.024,0.021,0.346,0.364
"P13","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.527,0.13,0.119,0.269,0.034,0.235,0.204
"P13","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.149,0.391,0,0.027,0.071,0.071,0.065
"P13","Arabella Carreras por Unidos Bariloche",0.076,0.275,0.318,0.086,0,0.105,0.076
"P13","Pablo Chamátropulos por Podemos Bariloche",0.047,0.023,0.013,0.413,0.135,0.01,0.025
"P13","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.008,0.004,0.291,0.144,0.713,0.115,0.147
"P13","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.071,0.042,0.047,0.036,0.042,0.232,0.079
"P13","No sabe",0.122,0.135,0.212,0.025,0.005,0.232,0.404
"P14","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.489,0.107,0.211,0.064,0.006,0.158,0.124
"P14","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.116,0.446,0.068,0.198,0,0.089,0.088
"P14","Arabella Carreras por Unidos Bariloche",0.109,0.232,0.221,0.092,0.069,0.043,0.124
"P14","Pablo Chamátropulos por Podemos Bariloche",0,0.036,0.05,0.575,0.099,0.013,0.018
"P14","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.026,0.017,0.232,0.013,0.478,0.145,0.156
"P14","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.084,0.013,0.017,0.033,0.34,0.25,0.102
"P14","No sabe",0.176,0.149,0.201,0.025,0.008,0.302,0.388
"P15","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.521,0.077,0.146,0.043,0.206,0.239,0.177
"P15","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.215,0.406,0.117,0.186,0.024,0.131,0.094
