"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca"
"Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.176,0.151,0.203,0.177,0.137,0.189,0.278,0.153,0.163,0.216,0.122,0.419,0.122,0.261,0,0.052
"Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.157,0.147,0.169,0.217,0.168,0.097,0.079,0.263,0.129,0.119,0.277,0.21,0.083,0.091,0.06,0.041
"Arabella Carreras por Unidos Bariloche",0.138,0.141,0.134,0.039,0.179,0.166,0.196,0.128,0.124,0.168,0.199,0.141,0.13,0.022,0.057,0.48
"Pablo Chamátropulos por Podemos Bariloche",0.042,0.036,0.05,0.039,0.042,0.048,0.043,0.057,0.046,0.026,0.016,0.027,0.013,0.28,0.083,0
"Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.129,0.137,0.119,0.137,0.123,0.144,0.097,0.103,0.141,0.128,0.101,0.044,0.325,0.095,0.582,0.099
"Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.099,0.107,0.091,0.127,0.094,0.08,0.084,0.015,0.127,0.12,0.072,0.01,0.209,0.05,0.218,0.102
"No sabe",0.259,0.281,0.234,0.264,0.257,0.276,0.223,0.281,0.27,0.223,0.213,0.149,0.118,0.201,0,0.226
