"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca"
"Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.222,0.248,0.194,0.313,0.145,0.21,0.242,0.181,0.241,0.225,0.153,0.41,0.178,0.315,0,0.13
"Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.167,0.178,0.155,0.203,0.174,0.083,0.189,0.252,0.162,0.099,0.248,0.259,0.082,0.039,0.235,0.309
"Arabella Carreras por Unidos Bariloche",0.117,0.11,0.126,0.037,0.141,0.181,0.156,0.092,0.11,0.154,0.147,0.135,0.084,0.044,0.248,0.048
"Pablo Chamátropulos por Podemos Bariloche",0.025,0.026,0.023,0.017,0.031,0.031,0.014,0.016,0.036,0.013,0.004,0.026,0.013,0.19,0,0
"Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.133,0.125,0.141,0.126,0.138,0.176,0.058,0.123,0.115,0.173,0.133,0.071,0.289,0.123,0.315,0.132
"Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.093,0.077,0.11,0.105,0.105,0.066,0.065,0.057,0.101,0.111,0.069,0.007,0.211,0.093,0.14,0.191
"No sabe",0.243,0.236,0.251,0.199,0.266,0.253,0.276,0.279,0.235,0.225,0.246,0.092,0.143,0.196,0.062,0.19
