clave	texto
encuesta_especial	Escenarios Electorales: Elecciones a Gobernador - Santa Fé; Septiembre 2023 (Corte 2)
bajada_encuesta_especial	Encuesta Sincrónica
bajada_encuesta_especial_fecha	10/09/2023
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	Provincia de Santa Fé.
ficha_Estratificación	Zona 1 (Rosario), Zona 2 (San lorenzo y Villa Constitución), Zona 3 (San Martín, Belgrano, Iriondo, Caseros y General López), Zona 4 (La Capital), Zona 5 (San Jerónimo, Las Colonias, San Justo y Garay), Zona 6 (Castellano, San Cristóbal y Nueve de Julio) y Zona 7 (Vera, General Obligado y San Javier)
ficha_Técnicas de recolección de información	ES - Encuesta Sincrónica (IVR) a teléfonos móviles y fijos
ficha_Diseño muestral	Probabilístico, aleatorio simple.
ficha_Tamaño muestral	La captura de datos abarca 1491 casos efectivos.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 2.54 %
