"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P26","Totalmente seguro",0.77,0.694,0.753,0.496,0.525,0.495,0.437
"P26","Bastante seguro",0.114,0.143,0.1,0.145,0.186,0.106,0.091
"P26","Algo seguro",0.071,0.082,0.095,0.158,0.134,0.119,0.086
"P26","Para nada seguro",0.045,0.081,0.052,0.201,0.155,0.28,0.386
"P27","Tiene Decidido que va a ir a votar",0.936,0.915,0.919,0.849,0.861,0.84,0.519
"P27","Tiene dudas sobre si va a ir a  votar",0.046,0.063,0.064,0.098,0.055,0.093,0.359
"P27","Tiene Decidido que no va a ir a votar",0.018,0.022,0.017,0.053,0.084,0.067,0.122
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.888,0.225,0.169,0.449,0.32,0.267,0.244
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.052,0.686,0.33,0.132,0.199,0.211,0.139
"P28","En blanco",0.021,0.041,0.29,0.193,0.24,0.169,0.306
"P28","No sabe",0.039,0.048,0.211,0.226,0.241,0.353,0.311
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.253,0.698,0.135,0.243,0.273,0.152,0.079
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.078,0.156,0.726,0.209,0.242,0.286,0.188
"P29","En blanco",0.435,0.074,0.065,0.333,0.247,0.185,0.457
"P29","No sabe",0.234,0.072,0.074,0.215,0.238,0.377,0.276
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.84,0.231,0.118,0.384,0.275,0.273,0.207
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.062,0.294,0.783,0.25,0.288,0.376,0.205
"P30","En blanco",0.055,0.283,0.049,0.17,0.248,0.162,0.441
"P30","No sabe",0.043,0.192,0.05,0.196,0.189,0.189,0.147
"P38","Inflación",0.414,0.308,0.35,0.287,0.34,0.205,0.153
"P38","Desempleo",0.119,0.087,0.058,0.126,0.047,0.143,0.209
"P38","Corrupción",0.111,0.386,0.407,0.231,0.338,0.365,0.26
"P38","Inseguridad",0.123,0.127,0.098,0.097,0.14,0.106,0.136
"P38","Precio del dólar",0.049,0.016,0.011,0.046,0.013,0.02,0.005
"P38","Pobreza",0.075,0.03,0.035,0.085,0.048,0.094,0.075
"P38","Narcotráfico",0.015,0.007,0.004,0.03,0.007,0,0
"P38","Tarifas",0.006,0.005,0.003,0.002,0,0,0
"P38","Otro",0.064,0.026,0.023,0.067,0.059,0.027,0.063
"P38","No sabe",0.024,0.008,0.011,0.029,0.008,0.04,0.099
