"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco"
"P26","Totalmente seguro",0.734,0.717,0.741,0.584,0.452,0.407
"P26","Bastante seguro",0.119,0.138,0.106,0.082,0.11,0.252
"P26","Algo seguro",0.076,0.079,0.096,0.096,0.182,0.071
"P26","Para nada seguro",0.071,0.066,0.057,0.238,0.256,0.27
"P27","Tiene Decidido que va a ir a votar",0.925,0.914,0.937,0.824,0.769,0.56
"P27","Tiene dudas sobre si va a ir a  votar",0.056,0.065,0.049,0.121,0.139,0.253
"P27","Tiene Decidido que no va a ir a votar",0.019,0.021,0.014,0.055,0.092,0.187
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.877,0.177,0.168,0.372,0.264,0.082
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.047,0.753,0.333,0.152,0.217,0.164
"P28","En blanco",0.026,0.025,0.298,0.147,0.22,0.398
"P28","No sabe",0.05,0.045,0.201,0.329,0.299,0.356
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.233,0.806,0.109,0.281,0.237,0.067
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.082,0.111,0.764,0.109,0.207,0.209
"P29","En blanco",0.433,0.04,0.068,0.331,0.222,0.433
"P29","No sabe",0.252,0.043,0.059,0.279,0.334,0.291
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.825,0.226,0.086,0.366,0.273,0.068
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.056,0.261,0.84,0.19,0.262,0.287
"P30","En blanco",0.069,0.305,0.04,0.235,0.215,0.353
"P30","No sabe",0.05,0.208,0.034,0.209,0.25,0.292
"P38","Inflación",0.416,0.31,0.318,0.285,0.288,0.23
"P38","Desempleo",0.113,0.085,0.076,0.091,0.077,0.191
"P38","Corrupción",0.111,0.391,0.426,0.288,0.339,0.25
"P38","Inseguridad",0.128,0.122,0.11,0.037,0.095,0.09
"P38","Precio del dólar",0.051,0.012,0.005,0.01,0.059,0.025
"P38","Pobreza",0.079,0.024,0.035,0.112,0.038,0.091
"P38","Narcotráfico",0.016,0.009,0.001,0.008,0.013,0.013
"P38","Tarifas",0.006,0.003,0.002,0.003,0.017,0
"P38","Otro",0.055,0.031,0.017,0.148,0.059,0.069
"P38","No sabe",0.025,0.013,0.01,0.018,0.015,0.041
