"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P10","Unión por la Patria",0.682,0.099,0.101,0.155,0.07,0.044,0.08
"P10","Juntos por el Cambio",0.148,0.749,0.116,0.061,0.12,0.166,0.103
"P10","De los liberales libertarios",0.081,0.102,0.649,0.108,0.117,0.053,0.06
"P10","De la Izquierda",0.023,0.015,0.031,0.564,0.06,0.053,0.04
"P10","Hacemos por nuestro país",0.011,0.007,0.017,0.004,0.427,0.038,0.021
"P10","Otro",0.017,0.011,0.039,0.066,0.098,0.275,0.078
"P10","En blanco",0.01,0.005,0.015,0.041,0.029,0.306,0.128
"P10","No sabe",0.028,0.012,0.032,0.001,0.079,0.065,0.49
"P26","Totalmente seguro",0.754,0.739,0.755,0.603,0.459,0.433,0.187
"P26","Bastante seguro",0.121,0.136,0.108,0.08,0.116,0.273,0.083
"P26","Algo seguro",0.076,0.079,0.097,0.1,0.191,0.074,0.074
"P26","Para nada seguro",0.049,0.046,0.04,0.217,0.234,0.22,0.656
"P27","Tiene Decidido que va a ir a votar",0.936,0.923,0.939,0.828,0.778,0.579,0.661
"P27","Tiene dudas sobre si va a ir a  votar",0.049,0.059,0.048,0.117,0.125,0.23,0.241
"P27","Tiene Decidido que no va a ir a votar",0.015,0.018,0.013,0.055,0.097,0.191,0.098
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.898,0.174,0.163,0.382,0.275,0.091,0.239
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.044,0.769,0.337,0.158,0.217,0.18,0.158
"P28","En blanco",0.025,0.024,0.306,0.153,0.228,0.409,0.054
"P28","No sabe",0.033,0.033,0.194,0.307,0.28,0.32,0.549
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.237,0.819,0.108,0.287,0.245,0.07,0.154
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.083,0.112,0.784,0.111,0.209,0.231,0.064
"P29","En blanco",0.44,0.04,0.066,0.326,0.23,0.448,0.135
"P29","No sabe",0.24,0.029,0.042,0.276,0.316,0.251,0.647
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.839,0.226,0.079,0.367,0.283,0.075,0.214
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.053,0.265,0.854,0.194,0.263,0.313,0.188
"P30","En blanco",0.067,0.311,0.039,0.229,0.223,0.373,0.114
"P30","No sabe",0.041,0.198,0.028,0.21,0.231,0.239,0.484
"P38","Inflación",0.422,0.31,0.321,0.291,0.292,0.249,0.198
"P38","Desempleo",0.113,0.085,0.072,0.089,0.08,0.203,0.134
"P38","Corrupción",0.106,0.396,0.429,0.289,0.349,0.243,0.263
"P38","Inseguridad",0.127,0.123,0.109,0.037,0.099,0.054,0.138
"P38","Precio del dólar",0.052,0.012,0.005,0.01,0.062,0.027,0.015
"P38","Pobreza",0.08,0.022,0.033,0.114,0.032,0.101,0.08
"P38","Narcotráfico",0.015,0.009,0.001,0.009,0.014,0.015,0.02
"P38","Tarifas",0.006,0.003,0.002,0.003,0.018,0,0
"P38","Otro",0.054,0.03,0.018,0.14,0.039,0.063,0.112
"P38","No sabe",0.025,0.01,0.01,0.018,0.015,0.045,0.04
