"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10","Unión por la Patria",0.657,0.053,0.053,0.088
"P10","Juntos por el Cambio",0.139,0.621,0.101,0.087
"P10","De los liberales libertarios",0.087,0.249,0.593,0.392
"P10","De la Izquierda",0.043,0.016,0.075,0.078
"P10","Hacemos por nuestro país",0.02,0.015,0.058,0.057
"P10","Otro",0.016,0.022,0.048,0.09
"P10","En blanco",0.01,0.008,0.047,0.04
"P10","No sabe",0.028,0.016,0.025,0.168
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.744,0.052,0.083,0.109
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.096,0.609,0.051,0.072
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.09,0.269,0.667,0.433
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.023,0.014,0.036,0.074
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.027,0.03,0.088,0.111
"P13","En blanco",0.003,0.01,0.06,0.048
"P13","No sabe",0.017,0.016,0.015,0.153
"P26","Totalmente seguro",0.745,0.731,0.742,0.511
"P26","Bastante seguro",0.122,0.134,0.099,0.081
"P26","Algo seguro",0.078,0.081,0.093,0.16
"P26","Para nada seguro",0.055,0.054,0.066,0.248
"P27","Tiene Decidido que va a ir a votar",0.953,0.915,0.85,0.796
"P27","Tiene dudas sobre si va a ir a  votar",0.034,0.067,0.079,0.158
"P27","Tiene Decidido que no va a ir a votar",0.013,0.018,0.071,0.046
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.298,0.612,0.067,0.074
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.096,0.354,0.619,0.422
"P29","En blanco",0.39,0.017,0.281,0.083
"P29","No sabe",0.216,0.017,0.033,0.421
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.819,0.101,0.061,0.112
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.076,0.486,0.727,0.522
"P30","En blanco",0.061,0.256,0.167,0.09
"P30","No sabe",0.044,0.157,0.045,0.276
"P38","Inflación",0.395,0.306,0.373,0.265
"P38","Desempleo",0.128,0.057,0.081,0.085
"P38","Corrupción",0.13,0.449,0.381,0.336
"P38","Inseguridad",0.136,0.107,0.075,0.11
"P38","Precio del dólar",0.042,0.019,0.007,0.016
"P38","Pobreza",0.075,0.021,0.04,0.068
"P38","Narcotráfico",0.013,0.006,0,0.019
"P38","Tarifas",0.007,0.003,0,0.004
"P38","Otro",0.052,0.022,0.035,0.066
"P38","No sabe",0.022,0.01,0.008,0.031
"P10_imputada","Unión por la Patria",0.674,0.057,0.064,0.12
"P10_imputada","Juntos por el Cambio",0.143,0.626,0.101,0.123
"P10_imputada","De los liberales libertarios",0.089,0.25,0.602,0.449
"P10_imputada","De la Izquierda",0.044,0.019,0.075,0.09
"P10_imputada","Hacemos por nuestro país",0.02,0.018,0.06,0.062
"P10_imputada","Otro",0.02,0.022,0.048,0.104
"P10_imputada","En blanco",0.01,0.008,0.05,0.052
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.75,0.058,0.088,0.172
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.101,0.614,0.055,0.102
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.096,0.273,0.67,0.462
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.023,0.013,0.036,0.083
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.027,0.032,0.088,0.123
"P13_imputada","En blanco",0.003,0.01,0.063,0.058
