"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.349,0.324,0.371,0.254,0.333,0.389,0.494,0.328,0.323,0.414,0.217,0.547,0.365,0.37,0.313,0.27,0.362,0.349,0.311,0.817,0.692,0.112
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.275,0.342,0.216,0.388,0.277,0.21,0.169,0.265,0.299,0.253,0.166,0.348,0.295,0.301,0.315,0.29,0.232,0.074,0.114,0.141,0.18,0.802
"En blanco",0.223,0.203,0.241,0.222,0.228,0.239,0.191,0.216,0.223,0.231,0.392,0.05,0.2,0.197,0.21,0.263,0.245,0.37,0.426,0.023,0.077,0.043
"No sabe",0.153,0.131,0.172,0.136,0.162,0.162,0.146,0.191,0.155,0.102,0.225,0.055,0.14,0.132,0.162,0.177,0.161,0.207,0.149,0.019,0.051,0.043
