"var","categoria","Pablo Todero a Diputado Nacional por Unión por la Patria","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Nadia Márquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Patricia Jure a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P05","Tiene Decidido que va a ir a votar.",0.866,0.907,0.894,0.814,0.867,0.937,0.879
"P05","Tiene dudas sobre si va a ir a  votar",0.112,0.072,0.095,0.186,0,0.042,0.064
"P05","Tiene Decidido que no va a ir a votar",0.022,0.021,0.011,0,0.133,0.021,0.057
"P06","Mucho",0.575,0.459,0.409,0.456,0.542,0.605,0.436
"P06","Bastante",0.258,0.34,0.319,0.36,0.263,0.091,0.233
"P06","Poco",0.119,0.166,0.173,0.137,0.195,0.098,0.198
"P06","Nada",0.043,0.022,0.071,0.031,0,0.12,0.057
"P06","No sabe",0.005,0.013,0.028,0.016,0,0.086,0.076
"P07","Siempre",0.21,0.173,0.183,0.156,0.258,0.295,0.218
"P07","Casi siempre",0.364,0.424,0.325,0.511,0.402,0.227,0.314
"P07","Casi nunca",0.359,0.327,0.315,0.245,0.223,0.287,0.301
"P07","Nunca, pero esta es una excepción",0.067,0.076,0.177,0.088,0.117,0.191,0.167
"P10","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.868,0.052,0.084,0.222,0.23,0.179,0.071
"P10","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.064,0.705,0.02,0.18,0.156,0.145,0.135
"P10","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.058,0.213,0.865,0.219,0.074,0.437,0.355
"P10","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0,0,0,0.285,0,0,0
"P10","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.006,0.007,0.006,0.018,0.52,0.003,0.009
"P10","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.002,0.003,0.005,0,0,0.046,0.016
"P10","En blanco",0,0.016,0.005,0.011,0,0.167,0
"P10","No sabe",0.002,0.004,0.015,0.065,0.02,0.023,0.414
"P13","Totalmente seguro.",0.72,0.724,0.773,0.638,0.851,0.726,0.423
"P13","Bastante seguro",0.107,0.101,0.105,0.057,0.149,0.016,0.087
"P13","Algo seguro",0.115,0.146,0.078,0.255,0,0.184,0.184
"P13","Para nada seguro",0.058,0.029,0.044,0.05,0,0.074,0.306
"P17","Si",0.336,0.517,0.375,0.899,0.549,0.833,0.765
"P17","No",0.664,0.483,0.625,0.101,0.451,0.167,0.235
"P18","Pablo Todero a Diputado Nacional por Unión por la Patria",1,0,0,0,0,0,0
"P18","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0,1,0,0.027,0,0,0
"P18","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0,0,1,0,0,0,0
"P18","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0,0,0,0.968,0,0,0
"P18","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0,0,0,0.005,1,0,0
"P18","En blanco",0,0,0,0,0,1,0
"P18","No sabe",0,0,0,0,0,0,1
"P21","Muy buena",0.316,0.302,0.367,0.16,0.047,0.138,0.21
