"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Tiene Decidido que va a ir a votar.",0.941,0.75,0.737,0.668
"P05","Tiene dudas sobre si va a ir a  votar",0.048,0.197,0.188,0.212
"P05","Tiene Decidido que no va a ir a votar",0.011,0.053,0.075,0.12
"P06","Mucho",0.545,0.364,0.302,0.16
"P06","Bastante",0.266,0.309,0.311,0.25
"P06","Poco",0.133,0.265,0.273,0.284
"P06","Nada",0.039,0.048,0.077,0.222
"P06","No sabe",0.017,0.014,0.037,0.084
"P07","Siempre",0.243,0.146,0.129,0.181
"P07","Casi siempre",0.331,0.526,0.369,0.148
"P07","Casi nunca",0.307,0.205,0.359,0.415
"P07","Nunca, pero esta es una excepción",0.119,0.123,0.143,0.256
"P10","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.269,0.317,0.253,0.179
"P10","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.188,0.162,0.237,0.108
"P10","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.448,0.423,0.29,0.175
"P10","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.014,0.011,0.081,0.011
"P10","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.045,0.053,0.008,0.009
"P10","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.004,0.022,0.002,0.035
"P10","En blanco",0.015,0.011,0.017,0.048
"P10","No sabe",0.017,0.001,0.112,0.435
"P17","Si",0.535,0.51,0.651,0.589
"P17","No",0.465,0.49,0.349,0.411
"P18","Pablo Todero a Diputado Nacional por Unión por la Patria",0.159,0.079,0.112,0.062
"P18","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.162,0.148,0.168,0.057
"P18","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.199,0.265,0.209,0.193
"P18","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.151,0.132,0.2,0.101
"P18","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.059,0.099,0,0
"P18","En blanco",0.133,0.022,0.144,0.071
"P18","No sabe",0.137,0.255,0.167,0.516
"P21","Muy buena",0.303,0.149,0.222,0.298
"P21","Buena",0.201,0.49,0.24,0.127
"P21","Ni buena ni mala",0.309,0.288,0.395,0.43
"P21","Mala",0.085,0.055,0.058,0.016
"P21","Muy mala",0.067,0,0.078,0.093
"P21","No sabe",0.035,0.018,0.007,0.036
"P22","Muy buena",0.175,0.12,0.105,0.202
"P22","Buena",0.173,0.272,0.291,0.15
"P22","Ni buena ni mala",0.327,0.408,0.372,0.408
"P22","Mala",0.204,0.141,0.159,0.035
"P22","Muy mala",0.076,0.027,0.036,0.089
"P22","No sabe",0.045,0.032,0.037,0.116
"P23","Muy buena",0.116,0.196,0.155,0.099
"P23","Buena",0.122,0.214,0.209,0.092
"P23","Ni buena ni mala",0.284,0.308,0.21,0.406
"P23","Mala",0.298,0.224,0.302,0.233
"P23","Muy mala",0.161,0.045,0.121,0.14
"P23","No sabe",0.019,0.013,0.003,0.03
"P24","Muy buena",0.175,0.143,0.169,0.15
"P24","Buena",0.204,0.378,0.201,0.111
"P24","Ni buena ni mala",0.273,0.252,0.267,0.351
"P24","Mala",0.206,0.164,0.243,0.126
"P24","Muy mala",0.108,0.04,0.059,0.206
"P24","No sabe",0.034,0.023,0.061,0.056
"P25","Muy buena",0.072,0.148,0.076,0.062
"P25","Buena",0.051,0.131,0.067,0.061
"P25","Ni buena ni mala",0.321,0.38,0.412,0.353
"P25","Mala",0.311,0.245,0.24,0.178
"P25","Muy mala",0.201,0.077,0.142,0.254
"P25","No sabe",0.044,0.019,0.063,0.092
"P26","Muy buena",0.062,0.08,0.104,0.058
"P26","Buena",0.089,0.255,0.024,0
"P26","Ni buena ni mala",0.323,0.389,0.388,0.414
"P26","Mala",0.261,0.165,0.185,0.104
"P26","Muy mala",0.203,0.098,0.152,0.349
"P26","No sabe",0.062,0.013,0.147,0.075
"P27","Si",0.413,0.387,0.377,0.322
"P27","No",0.587,0.613,0.623,0.678
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.271,0.317,0.253,0.178
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.19,0.162,0.278,0.108
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.449,0.423,0.304,0.184
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.045,0.053,0.01,0.012
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.007,0.022,0.019,0.035
"PRESIDENTE","En blanco",0.021,0.021,0.024,0.048
"PRESIDENTE","No sabe",0.017,0.002,0.112,0.435
"DIPUTADOS","Pablo Todero a Diputado Nacional por Unión por la Patria",0.222,0.247,0.188,0.161
"DIPUTADOS","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.157,0.164,0.168,0.056
"DIPUTADOS","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.324,0.33,0.174,0.167
"DIPUTADOS","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.089,0.06,0.19,0.063
"DIPUTADOS","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.054,0.071,0,0
"DIPUTADOS","En blanco",0.079,0.013,0.107,0.072
"DIPUTADOS","No sabe",0.075,0.115,0.173,0.481
"CORTA_DIPUTADOS","Si",0.377,0.363,0.41,0.356
"CORTA_DIPUTADOS","No",0.623,0.637,0.59,0.644
"P10_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.28,0.318,0.276,0.312
"P10_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.189,0.162,0.238,0.158
"P10_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.452,0.423,0.323,0.36
"P10_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.015,0.011,0.081,0.011
"P10_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.045,0.053,0.008,0.014
"P10_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.004,0.022,0.002,0.035
"P10_imputada","En blanco",0.015,0.011,0.072,0.11
"P18_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.173,0.123,0.152,0.184
"P18_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.208,0.235,0.178,0.17
"P18_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.209,0.265,0.244,0.253
"P18_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.166,0.137,0.216,0.294
"P18_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.065,0.156,0,0.019
"P18_imputada","En blanco",0.179,0.084,0.21,0.08
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.282,0.318,0.276,0.312
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.191,0.162,0.279,0.158
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.454,0.423,0.336,0.368
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.051,0.064,0.018,0.017
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.007,0.022,0.019,0.035
"PRESIDENTE_imputada","En blanco",0.015,0.011,0.072,0.11
"DIPUTADOS_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.233,0.265,0.246,0.25
"DIPUTADOS_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.18,0.205,0.176,0.12
"DIPUTADOS_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.331,0.33,0.233,0.286
"DIPUTADOS_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.096,0.063,0.201,0.182
"DIPUTADOS_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.057,0.097,0,0.01
