"var","categoria","Si","No"
"P05","Tiene Decidido que va a ir a votar.",0.928,0.855
"P05","Tiene dudas sobre si va a ir a  votar",0.061,0.114
"P05","Tiene Decidido que no va a ir a votar",0.011,0.031
"P06","Mucho",0.613,0.411
"P06","Bastante",0.241,0.289
"P06","Poco",0.105,0.203
"P06","Nada",0.012,0.063
"P06","No sabe",0.029,0.034
"P07","Siempre",0.269,0.168
"P07","Casi siempre",0.453,0.293
"P07","Casi nunca",0.221,0.372
"P07","Nunca, pero esta es una excepción",0.057,0.167
"P10","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.357,0.232
"P10","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.199,0.187
"P10","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.345,0.403
"P10","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.015,0.026
"P10","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.036,0.022
"P10","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.005,0.007
"P10","En blanco",0.014,0.025
"P10","No sabe",0.029,0.098
"P13","Totalmente seguro.",0.72,0.679
"P13","Bastante seguro",0.097,0.103
"P13","Algo seguro",0.126,0.138
"P13","Para nada seguro",0.057,0.08
"P17","Si",0.587,0.502
"P17","No",0.413,0.498
"P18","Pablo Todero a Diputado Nacional por Unión por la Patria",0.147,0.105
"P18","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.177,0.139
"P18","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.24,0.204
"P18","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.185,0.167
"P18","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.038,0.062
"P18","En blanco",0.056,0.121
"P18","No sabe",0.157,0.202
"P21","Muy buena",0.351,0.213
"P21","Buena",0.225,0.24
"P21","Ni buena ni mala",0.322,0.354
"P21","Mala",0.054,0.075
"P21","Muy mala",0.015,0.095
"P21","No sabe",0.033,0.023
"P22","Muy buena",0.198,0.126
"P22","Buena",0.219,0.206
"P22","Ni buena ni mala",0.345,0.35
"P22","Mala",0.154,0.2
"P22","Muy mala",0.059,0.068
"P22","No sabe",0.025,0.05
"P23","Muy buena",0.201,0.081
"P23","Buena",0.157,0.135
"P23","Ni buena ni mala",0.268,0.304
"P23","Mala",0.255,0.302
"P23","Muy mala",0.118,0.148
"P23","No sabe",0.001,0.03
"P24","Muy buena",0.221,0.135
"P24","Buena",0.232,0.218
"P24","Ni buena ni mala",0.251,0.292
"P24","Mala",0.212,0.187
"P24","Muy mala",0.064,0.116
"P24","No sabe",0.02,0.052
"P25","Muy buena",0.148,0.04
"P25","Buena",0.05,0.075
"P25","Ni buena ni mala",0.345,0.335
"P25","Mala",0.27,0.297
"P25","Muy mala",0.147,0.198
"P25","No sabe",0.04,0.055
"P26","Muy buena",0.122,0.041
"P26","Buena",0.1,0.091
"P26","Ni buena ni mala",0.355,0.342
"P26","Mala",0.202,0.238
"P26","Muy mala",0.158,0.207
"P26","No sabe",0.063,0.081
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.359,0.234
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.201,0.198
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.346,0.408
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.037,0.023
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.013,0.01
"PRESIDENTE","En blanco",0.015,0.029
"PRESIDENTE","No sabe",0.029,0.098
"DIPUTADOS","Pablo Todero a Diputado Nacional por Unión por la Patria",0.258,0.183
"DIPUTADOS","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.195,0.145
"DIPUTADOS","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.256,0.302
"DIPUTADOS","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.108,0.101
"DIPUTADOS","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.047,0.042
"DIPUTADOS","En blanco",0.039,0.075
"DIPUTADOS","No sabe",0.097,0.152
"CORTA_DIPUTADOS","Si",0.382,0.331
"CORTA_DIPUTADOS","No",0.618,0.669
"P10_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.37,0.264
