"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco"
"P05","Tiene Decidido que va a ir a votar.",0.874,0.864,0.892,0.692,0.93,0.728,0.724
"P05","Tiene dudas sobre si va a ir a  votar",0.098,0.083,0.081,0.308,0.028,0.071,0.276
"P05","Tiene Decidido que no va a ir a votar",0.028,0.053,0.027,0,0.042,0.201,0
"P06","Mucho",0.563,0.449,0.413,0.378,0.48,0.529,0.212
"P06","Bastante",0.236,0.299,0.304,0.492,0.21,0.184,0.054
"P06","Poco",0.148,0.195,0.186,0.073,0.287,0.287,0.253
"P06","Nada",0.043,0.046,0.068,0.041,0.023,0,0.239
"P06","No sabe",0.01,0.011,0.029,0.016,0,0,0.242
"P07","Siempre",0.243,0.229,0.197,0.153,0.067,0.214,0.207
"P07","Casi siempre",0.327,0.34,0.34,0.652,0.407,0.533,0.068
"P07","Casi nunca",0.324,0.36,0.301,0.111,0.321,0.184,0.332
"P07","Nunca, pero esta es una excepción",0.106,0.071,0.162,0.084,0.205,0.069,0.393
"P13","Totalmente seguro.",0.672,0.681,0.731,0.434,0.805,0.345,0.338
"P13","Bastante seguro",0.106,0.08,0.095,0.044,0.134,0.264,0.035
"P13","Algo seguro",0.133,0.172,0.105,0.483,0.03,0.031,0.329
"P13","Para nada seguro",0.089,0.067,0.069,0.039,0.031,0.36,0.298
"P21","Muy buena",0.258,0.234,0.335,0.079,0.089,0.407,0.222
"P21","Buena",0.245,0.315,0.175,0.255,0.369,0.441,0.062
"P21","Ni buena ni mala",0.367,0.313,0.3,0.389,0.191,0.152,0.529
"P21","Mala",0.061,0.051,0.092,0.014,0.244,0,0
"P21","Muy mala",0.016,0.075,0.074,0.263,0.1,0,0.153
"P21","No sabe",0.053,0.012,0.024,0,0.007,0,0.034
"P22","Muy buena",0.244,0.113,0.132,0.053,0.109,0.022,0.205
"P22","Buena",0.259,0.153,0.154,0.642,0.102,0.182,0.235
"P22","Ni buena ni mala",0.347,0.322,0.358,0.249,0.38,0.711,0.292
"P22","Mala",0.089,0.263,0.205,0.025,0.311,0.032,0.22
"P22","Muy mala",0.016,0.113,0.091,0.031,0.066,0.053,0
"P22","No sabe",0.045,0.036,0.06,0,0.032,0,0.048
"P23","Muy buena",0.145,0.085,0.148,0.086,0.09,0.159,0.036
"P23","Buena",0.183,0.191,0.084,0.243,0.117,0.106,0.124
"P23","Ni buena ni mala",0.308,0.24,0.284,0.299,0.059,0.65,0.441
"P23","Mala",0.221,0.354,0.303,0.061,0.458,0.085,0.322
"P23","Muy mala",0.116,0.124,0.163,0.311,0.276,0,0.077
"P23","No sabe",0.027,0.006,0.018,0,0,0,0
"P24","Muy buena",0.194,0.186,0.162,0.162,0.06,0.212,0.037
"P24","Buena",0.263,0.207,0.193,0.324,0.103,0.045,0.147
"P24","Ni buena ni mala",0.308,0.27,0.245,0.246,0.196,0.71,0.342
"P24","Mala",0.125,0.26,0.236,0,0.426,0.033,0.094
"P24","Muy mala",0.078,0.055,0.126,0.013,0.176,0,0.312
"P24","No sabe",0.032,0.022,0.038,0.255,0.039,0,0.068
"P25","Muy buena",0.107,0.086,0.071,0,0.028,0,0
"P25","Buena",0.109,0.038,0.043,0.092,0.023,0.029,0.022
"P25","Ni buena ni mala",0.4,0.298,0.339,0.292,0.125,0.339,0.28
"P25","Mala",0.217,0.341,0.29,0.433,0.517,0.314,0.267
"P25","Muy mala",0.112,0.203,0.213,0.033,0.286,0.318,0.364
"P25","No sabe",0.055,0.034,0.044,0.15,0.021,0,0.067
"P26","Muy buena",0.107,0.068,0.037,0.26,0.064,0,0
"P26","Buena",0.164,0.043,0.074,0,0.073,0,0
"P26","Ni buena ni mala",0.406,0.302,0.335,0.315,0.183,0.61,0.252
"P26","Mala",0.178,0.305,0.231,0.11,0.435,0.072,0.193
"P26","Muy mala",0.085,0.236,0.244,0.102,0.245,0.318,0.4
"P26","No sabe",0.06,0.046,0.079,0.213,0,0,0.155
"P27","Si",0.483,0.414,0.342,0.28,0.516,0.302,0.249
"P27","No",0.517,0.586,0.658,0.72,0.484,0.698,0.751
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",1,0,0,0.044,0,0,0
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0,1,0,0.309,0,0,0
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0,0,1,0.152,0,0,0
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0,0,0.294,1,0,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0,0,0,0.201,0,1,0
"PRESIDENTE_imputada","En blanco",0,0,0,0,0,0,1
"DIPUTADOS_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.682,0.086,0.036,0,0.044,0.308,0.089
"DIPUTADOS_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.033,0.646,0.105,0,0.034,0.052,0.073
"DIPUTADOS_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.105,0.039,0.639,0,0.087,0.194,0.04
"DIPUTADOS_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.075,0.125,0.078,1,0.058,0,0.226
"DIPUTADOS_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.042,0.042,0.014,0,0.77,0,0
"DIPUTADOS_imputada","En blanco",0.063,0.062,0.128,0,0.007,0.446,0.572
