"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.285,0.292,0.277,0.233,0.297,0.31,0.338,0.22,0.295,0.346,0.667,0.559,0.067,0.088,0.046,0.294,0.322,0.495,0.018,0.048,0.194,0.255,0.309
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.198,0.193,0.203,0.154,0.161,0.292,0.293,0.183,0.172,0.263,0.086,0.102,0.7,0.536,0.04,0.197,0.199,0.15,0.555,0.209,0.223,0.228,0.173
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.426,0.42,0.433,0.542,0.439,0.281,0.316,0.474,0.458,0.311,0.227,0.262,0.174,0.275,0.841,0.447,0.35,0.293,0.402,0.693,0.29,0.398,0.449
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.046,0.053,0.038,0.046,0.052,0.044,0.021,0.055,0.033,0.057,0.007,0.075,0,0.082,0.058,0.035,0.082,0.027,0.025,0.032,0.222,0.07,0.026
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.014,0.015,0.013,0,0.01,0.042,0.019,0.02,0.011,0.013,0.009,0.002,0.023,0.011,0.001,0.013,0.025,0.014,0,0.018,0.019,0.015,0.014
"En blanco",0.031,0.027,0.036,0.025,0.041,0.031,0.013,0.048,0.031,0.01,0.004,0,0.036,0.008,0.014,0.014,0.022,0.021,0,0,0.052,0.034,0.029
