"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Muy buena",0.17,0.157,0.183,0.194,0.145,0.199,0.15,0.227,0.15,0.145,0.272,0.164,0.13,0.212,0.109,0.171,0.286,0.109,0.14,0.099,0.082,0.216,0.13
"Buena",0.214,0.208,0.221,0.201,0.2,0.273,0.191,0.207,0.236,0.185,0.25,0.292,0.235,0.399,0.134,0.222,0.331,0.287,0.158,0.072,0.007,0.222,0.208
"Ni buena ni mala",0.275,0.279,0.271,0.238,0.264,0.293,0.375,0.16,0.327,0.306,0.259,0.279,0.294,0.132,0.298,0.291,0.251,0.344,0.22,0.169,0.177,0.229,0.315
"Mala",0.201,0.214,0.188,0.207,0.232,0.139,0.185,0.216,0.176,0.229,0.128,0.17,0.233,0.205,0.278,0.205,0.077,0.224,0.237,0.333,0.418,0.227,0.179
"Muy mala",0.102,0.113,0.089,0.103,0.131,0.065,0.054,0.141,0.071,0.111,0.07,0.062,0.089,0.036,0.142,0.089,0.01,0.031,0.137,0.231,0.316,0.09,0.111
"No sabe",0.038,0.029,0.048,0.057,0.028,0.031,0.045,0.049,0.04,0.024,0.021,0.033,0.019,0.016,0.039,0.022,0.045,0.005,0.108,0.096,0,0.016,0.057
