"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P05","Tiene Decidido que va a ir a votar.",0.946,0.863,0.765,0.566,0.702
"P05","Tiene dudas sobre si va a ir a  votar",0.044,0.123,0.134,0.269,0.127
"P05","Tiene Decidido que no va a ir a votar",0.01,0.014,0.101,0.165,0.171
"P07","Siempre",0.33,0.124,0.134,0.117,0.152
"P07","Casi siempre",0.319,0.405,0.213,0.129,0.096
"P07","Casi nunca",0.233,0.362,0.465,0.314,0.433
"P07","Nunca, pero esta es una excepción",0.118,0.109,0.188,0.44,0.319
"P10","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.338,0.217,0.187,0.151,0.068
"P10","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.183,0.199,0.204,0.15,0.032
"P10","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.37,0.435,0.386,0.485,0.323
"P10","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.02,0.043,0.01,0.017,0.016
"P10","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.041,0.03,0.06,0.015,0
"P10","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.011,0.007,0.016,0,0
"P10","En blanco",0.012,0.006,0.011,0.07,0.21
"P10","No sabe",0.025,0.063,0.126,0.112,0.351
"P13","Totalmente seguro.",0.807,0.664,0.515,0.444,0.468
"P13","Bastante seguro",0.075,0.107,0.142,0.076,0.055
"P13","Algo seguro",0.09,0.155,0.212,0.178,0.202
"P13","Para nada seguro",0.028,0.074,0.131,0.302,0.275
"P17","Si",0.593,0.504,0.547,0.53,0.388
"P17","No",0.407,0.496,0.453,0.47,0.612
"P18","Pablo Todero a Diputado Nacional por Unión por la Patria",0.166,0.14,0.03,0.155,0
"P18","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.153,0.171,0.146,0.106,0.104
"P18","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.169,0.224,0.338,0.201,0.049
"P18","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.137,0.192,0.158,0.13,0.112
"P18","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.044,0.05,0.085,0,0
"P18","En blanco",0.148,0.044,0.103,0.284,0.062
"P18","No sabe",0.183,0.179,0.14,0.124,0.673
"P21","Muy buena",0.271,0.299,0.258,0.263,0.283
"P21","Buena",0.24,0.254,0.224,0.086,0.044
"P21","Ni buena ni mala",0.31,0.317,0.32,0.522,0.43
"P21","Mala",0.077,0.093,0.043,0.071,0.017
"P21","Muy mala",0.068,0.029,0.099,0.045,0.178
"P21","No sabe",0.034,0.008,0.056,0.013,0.048
"P22","Muy buena",0.178,0.166,0.107,0.141,0.185
"P22","Buena",0.222,0.219,0.091,0.248,0.066
"P22","Ni buena ni mala",0.331,0.327,0.414,0.417,0.32
"P22","Mala",0.169,0.195,0.186,0.169,0.189
"P22","Muy mala",0.069,0.06,0.07,0,0.19
"P22","No sabe",0.031,0.033,0.132,0.025,0.05
"P23","Muy buena",0.121,0.157,0.136,0.076,0
"P23","Buena",0.142,0.167,0.112,0.11,0.079
"P23","Ni buena ni mala",0.265,0.298,0.296,0.302,0.405
"P23","Mala",0.291,0.286,0.287,0.342,0.109
"P23","Muy mala",0.169,0.084,0.122,0.17,0.355
"P23","No sabe",0.012,0.008,0.047,0,0.052
"P24","Muy buena",0.157,0.233,0.091,0.275,0.053
"P24","Buena",0.223,0.257,0.174,0.139,0
"P24","Ni buena ni mala",0.275,0.243,0.316,0.243,0.404
"P24","Mala",0.214,0.197,0.216,0.118,0.068
"P24","Muy mala",0.105,0.034,0.138,0.202,0.344
"P24","No sabe",0.026,0.036,0.065,0.023,0.131
"P25","Muy buena",0.098,0.07,0.061,0.053,0.012
"P25","Buena",0.041,0.098,0.069,0.042,0.051
"P25","Ni buena ni mala",0.317,0.408,0.314,0.32,0.267
"P25","Mala",0.309,0.272,0.258,0.221,0.308
"P25","Muy mala",0.196,0.117,0.216,0.33,0.233
"P25","No sabe",0.039,0.035,0.082,0.034,0.129
"P26","Muy buena",0.103,0.034,0.042,0.039,0.027
"P26","Buena",0.095,0.113,0.063,0.081,0
"P26","Ni buena ni mala",0.339,0.373,0.307,0.264,0.49
"P26","Mala",0.216,0.256,0.251,0.229,0.12
"P26","Muy mala",0.205,0.156,0.211,0.287,0.191
"P26","No sabe",0.042,0.068,0.126,0.1,0.172
"P27","Si",0.498,0.357,0.256,0.109,0.359
"P27","No",0.502,0.643,0.744,0.891,0.641
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.34,0.219,0.188,0.151,0.068
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.195,0.203,0.208,0.15,0.032
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.372,0.445,0.39,0.485,0.323
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.042,0.031,0.06,0.015,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.012,0.018,0.017,0,0.016
"PRESIDENTE","En blanco",0.015,0.021,0.011,0.087,0.21
"PRESIDENTE","No sabe",0.024,0.063,0.126,0.112,0.351
"DIPUTADOS","Pablo Todero a Diputado Nacional por Unión por la Patria",0.256,0.196,0.165,0.173,0.039
"DIPUTADOS","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.144,0.181,0.161,0.063,0.069
"DIPUTADOS","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.248,0.33,0.326,0.397,0.283
