"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco"
"P05","Tiene Decidido que va a ir a votar.",0.875,0.848,0.889,0.94,0.693,0.724
"P05","Tiene dudas sobre si va a ir a  votar",0.097,0.101,0.084,0.024,0.168,0.276
"P05","Tiene Decidido que no va a ir a votar",0.028,0.051,0.027,0.036,0.139,0
"P06","Mucho",0.563,0.46,0.412,0.439,0.397,0.212
"P06","Bastante",0.236,0.293,0.306,0.273,0.355,0.054
"P06","Poco",0.148,0.192,0.186,0.247,0.22,0.253
"P06","Nada",0.043,0.045,0.067,0.041,0,0.239
"P06","No sabe",0.01,0.01,0.029,0,0.028,0.242
"P07","Siempre",0.242,0.231,0.199,0.057,0.148,0.206
"P07","Casi siempre",0.327,0.353,0.34,0.469,0.558,0.068
"P07","Casi nunca",0.324,0.348,0.3,0.276,0.224,0.333
"P07","Nunca, pero esta es una excepción",0.107,0.068,0.161,0.198,0.07,0.393
"P13","Totalmente seguro.",0.674,0.663,0.728,0.778,0.392,0.338
"P13","Bastante seguro",0.105,0.078,0.094,0.137,0.168,0.035
"P13","Algo seguro",0.132,0.194,0.108,0.055,0.211,0.329
"P13","Para nada seguro",0.089,0.065,0.07,0.03,0.229,0.298
"P17","Si",0.502,0.597,0.57,0.458,0.677,0.535
"P17","No",0.498,0.403,0.43,0.542,0.323,0.465
"P21","Muy buena",0.26,0.226,0.332,0.081,0.307,0.222
"P21","Buena",0.244,0.305,0.181,0.378,0.277,0.062
"P21","Ni buena ni mala",0.367,0.31,0.298,0.211,0.416,0.529
"P21","Mala",0.06,0.049,0.091,0.231,0,0
"P21","Muy mala",0.016,0.098,0.074,0.092,0,0.153
"P21","No sabe",0.053,0.012,0.024,0.007,0,0.034
"P22","Muy buena",0.244,0.11,0.13,0.099,0.062,0.205
"P22","Buena",0.258,0.173,0.16,0.165,0.283,0.235
"P22","Ni buena ni mala",0.347,0.318,0.357,0.356,0.601,0.292
"P22","Mala",0.09,0.254,0.203,0.29,0.02,0.22
"P22","Muy mala",0.016,0.11,0.091,0.06,0.034,0
"P22","No sabe",0.045,0.035,0.059,0.03,0,0.048
"P23","Muy buena",0.146,0.082,0.148,0.097,0.105,0.036
"P23","Buena",0.183,0.19,0.089,0.107,0.161,0.124
"P23","Ni buena ni mala",0.308,0.232,0.283,0.091,0.678,0.441
"P23","Mala",0.221,0.342,0.3,0.453,0.056,0.322
"P23","Muy mala",0.115,0.148,0.162,0.252,0,0.077
"P23","No sabe",0.027,0.006,0.018,0,0,0
"P24","Muy buena",0.194,0.182,0.162,0.091,0.181,0.037
"P24","Buena",0.264,0.2,0.199,0.109,0.194,0.147
"P24","Ni buena ni mala",0.308,0.266,0.244,0.214,0.604,0.342
"P24","Mala",0.125,0.252,0.233,0.389,0.021,0.094
"P24","Muy mala",0.077,0.054,0.124,0.161,0,0.312
"P24","No sabe",0.032,0.046,0.038,0.036,0,0.068
"P25","Muy buena",0.107,0.083,0.071,0.026,0,0
"P25","Buena",0.109,0.036,0.043,0.021,0.177,0.022
"P25","Ni buena ni mala",0.401,0.29,0.339,0.187,0.251,0.28
"P25","Mala",0.217,0.36,0.286,0.487,0.323,0.267
"P25","Muy mala",0.112,0.198,0.212,0.26,0.188,0.364
"P25","No sabe",0.054,0.033,0.049,0.019,0.061,0.067
"P26","Muy buena",0.107,0.091,0.037,0.058,0,0
"P26","Buena",0.163,0.041,0.073,0.066,0,0
"P26","Ni buena ni mala",0.407,0.297,0.334,0.204,0.572,0.252
"P26","Mala",0.179,0.294,0.228,0.402,0.179,0.193
"P26","Muy mala",0.085,0.232,0.244,0.231,0.188,0.4
"P26","No sabe",0.059,0.045,0.084,0.039,0.061,0.155
"P27","Si",0.482,0.402,0.341,0.474,0.466,0.249
"P27","No",0.518,0.598,0.659,0.526,0.534,0.751
