"var","categoria","Pablo Todero a Diputado Nacional por Unión por la Patria","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Nadia Márquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Patricia Jure a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P05","Tiene Decidido que va a ir a votar.",0.942,0.912,0.902,0.878,0.816,0.929,0.912
"P05","Tiene dudas sobre si va a ir a  votar",0.049,0.074,0.073,0.122,0,0.041,0.032
"P05","Tiene Decidido que no va a ir a votar",0.009,0.014,0.025,0,0.184,0.03,0.056
"P06","Mucho",0.65,0.533,0.438,0.477,0.488,0.656,0.535
"P06","Bastante",0.261,0.283,0.276,0.319,0.263,0.094,0.249
"P06","Poco",0.031,0.135,0.232,0.146,0.249,0.12,0.109
"P06","Nada",0.058,0.035,0.049,0.043,0,0.12,0.034
"P06","No sabe",0,0.014,0.005,0.015,0,0.01,0.073
"P07","Siempre",0.342,0.21,0.25,0.15,0.412,0.304,0.189
"P07","Casi siempre",0.302,0.367,0.302,0.452,0.24,0.254,0.351
"P07","Casi nunca",0.342,0.324,0.29,0.31,0.263,0.315,0.299
"P07","Nunca, pero esta es una excepción",0.014,0.099,0.158,0.088,0.085,0.127,0.161
"P13","Totalmente seguro.",0.782,0.713,0.652,0.665,0.828,0.745,0.505
"P13","Bastante seguro",0.048,0.08,0.108,0.072,0.172,0.015,0.116
"P13","Algo seguro",0.132,0.176,0.163,0.209,0,0.191,0.146
"P13","Para nada seguro",0.038,0.031,0.077,0.054,0,0.049,0.233
"P21","Muy buena",0.398,0.322,0.514,0.163,0.088,0.125,0.175
"P21","Buena",0.119,0.228,0.211,0.375,0.287,0.196,0.24
"P21","Ni buena ni mala",0.357,0.339,0.145,0.233,0.273,0.185,0.409
"P21","Mala",0.114,0.074,0.035,0.041,0.048,0.157,0.039
"P21","Muy mala",0.012,0.024,0.038,0.144,0.304,0.167,0.121
"P21","No sabe",0,0.013,0.057,0.044,0,0.17,0.016
"P22","Muy buena",0.398,0.138,0.248,0.024,0.093,0.143,0.091
"P22","Buena",0.156,0.093,0.232,0.361,0.309,0.203,0.191
"P22","Ni buena ni mala",0.368,0.321,0.309,0.247,0.209,0.31,0.453
"P22","Mala",0.078,0.242,0.115,0.299,0.389,0.089,0.095
"P22","Muy mala",0,0.154,0.032,0.051,0,0.139,0.123
"P22","No sabe",0,0.052,0.064,0.018,0,0.116,0.047
"P23","Muy buena",0.221,0.09,0.268,0.082,0.154,0.039,0.056
"P23","Buena",0.213,0.123,0.123,0.231,0.105,0.066,0.076
"P23","Ni buena ni mala",0.253,0.268,0.317,0.335,0.115,0.271,0.316
"P23","Mala",0.215,0.32,0.186,0.287,0.506,0.302,0.356
"P23","Muy mala",0.098,0.191,0.063,0.065,0.12,0.221,0.196
"P23","No sabe",0,0.008,0.043,0,0,0.101,0
"P24","Muy buena",0.333,0.125,0.324,0.261,0.154,0.075,0.083
"P24","Buena",0.248,0.292,0.116,0.252,0.22,0.098,0.185
