"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Muy buena",0.069,0.046,0.094,0.068,0.063,0.068,0.094,0.088,0.049,0.083,0.139,0.11,0.014,0.11,0.013,0.075,0.05,0.142,0.124,0.008,0.053,0.066,0.071
"Buena",0.091,0.077,0.106,0.154,0.061,0.08,0.078,0.078,0.098,0.093,0.144,0.309,0.021,0.049,0.026,0.076,0.177,0.118,0.021,0.03,0.038,0.099,0.085
"Ni buena ni mala",0.345,0.345,0.344,0.372,0.34,0.311,0.365,0.337,0.397,0.265,0.351,0.3,0.306,0.245,0.398,0.354,0.362,0.422,0.191,0.18,0.23,0.308,0.376
"Mala",0.23,0.234,0.227,0.17,0.249,0.262,0.241,0.244,0.196,0.274,0.189,0.159,0.331,0.213,0.264,0.224,0.274,0.225,0.239,0.288,0.336,0.234,0.228
"Muy mala",0.196,0.238,0.151,0.138,0.231,0.215,0.164,0.198,0.17,0.238,0.102,0.103,0.281,0.306,0.233,0.204,0.063,0.06,0.425,0.321,0.343,0.22,0.175
"No sabe",0.069,0.06,0.078,0.098,0.056,0.064,0.058,0.055,0.09,0.047,0.075,0.019,0.047,0.077,0.066,0.067,0.074,0.033,0,0.173,0,0.073,0.065
